customer_id,customer_name,purchase_frequency,average_order_value,product_preferences
21,Tobie Little,9,2033.1155555555551,"Trek Boone 7 - 2017,Electra Cruiser Lux 1 - 2017,Trek CrossRip 2 - 2018,Trek Domane SL 6 - 2018,Electra Cruiser 1 Tall - 2016/2018,Strider Strider 20 Sport - 2018,Electra Townie Balloon 7i EQ - 2018,Pure Cycles Western 3-Speed - Women's - 2015/2016,Trek Precaliber 24 (21-Speed) - Girls - 2017"
22,Adelle Larsen,7,2585.5600000000004,"Surly Straggler 650b - 2016,Electra Townie Original 21D - 2016,Pure Cycles Vine 8-Speed - 2016,Pure Cycles William 3-Speed - 2016,Trek Fuel EX 9.8 27.5 Plus - 2017,Electra Cruiser Lux 3i - 2018"
23,Kaylee English,3,1713.2033333333331,"Sun Bicycles Biscayne Tandem 7 - 2017,Electra Townie Commute Go! Ladies' - 2018,Electra Townie Commute 27D - 2018"
24,Corene Wall,11,1404.9327272727273,"Trek Remedy 29 Carbon Frameset - 2016,Electra Townie Original 7D EQ - Women's - 2016,Surly Wednesday - 2017,Haro Flightline One ST - 2017,Haro Shift R3 - 2017,Trek Conduit+ - 2016,Electra Moto 1 - 2016,Trek X-Caliber 7 - 2018,Electra Super Moto 8i - 2018,Strider Classic 12 Balance Bike - 2018"
25,Regenia Vaughan,8,2052.3175,"Trek Emonda S 4 - 2017,Trek Boone Race Shop Limited - 2017,Sun Bicycles Streamway 3 - 2017,Pure Cycles Vine 8-Speed - 2016,Haro Shift R3 - 2017,Surly Krampus - 2018,Trek Domane ALR 4 Disc - 2018,Electra Straight 8 1 (20-inch) - Boy's - 2018"
26,Theo Reese,7,1576.3899999999999,"Surly Straggler 650b - 2016,Electra Cruiser 1 (24-Inch) - 2016,Sun Bicycles Lil Bolt Type-R - 2017,Haro Downtown 16 - 2017,Surly Krampus - 2018,Trek Emonda SL 7 - 2018,Strider Strider 20 Sport - 2018"
27,Santos Valencia,6,1918.1683333333333,"Trek Fuel EX 8 29 - 2016,Electra Townie Original 21D - 2016,Electra Amsterdam Original 3i Ladies' - 2017,Haro Shredder 20 - 2017,Electra Delivery 3i - 2016/2017/2018,Electra Townie Balloon 8D EQ Ladies' - 2016/2017/2018"
28,Jeanice Frost,10,2223.0369999999994,"Trek Conduit+ - 2016,Trek Fuel EX 5 27.5 Plus - 2017,Haro SR 1.2 - 2017,Electra Amsterdam Fashion 7i Ladies' - 2017,Sun Bicycles Streamway 3 - 2017,Trek Silque SLR 8 Women's - 2017,Sun Bicycles Biscayne Tandem CB - 2017,Electra Moto 3i (20-inch) - Boy's - 2017,Electra Koa 3i Ladies' - 2018,Trek Precaliber 20 Boy's - 2018"
29,Syreeta Hendricks,4,3399.8175,"Electra Townie Original 7D - 2015/2016,Trek Fuel EX 5 27.5 Plus - 2017,Trek Madone 9.2 - 2017,Electra Townie Commute Go! Ladies' - 2018"
30,Jamaal Albert,10,1167.64,"Electra Townie Original 7D EQ - Women's - 2016,Surly Straggler - 2016,Electra Moto 1 - 2016,Electra Townie Original 7D EQ - 2016,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra Townie Original 21D - 2016,Trek Precaliber 16 Boys - 2017,Electra Townie Original 7D - 2017,Electra Townie Commute Go! - 2018"
31,Williemae Holloway,9,2436.3855555555556,"Surly Wednesday Frameset - 2016,Pure Cycles Western 3-Speed - Women's - 2015/2016,Electra Cruiser 1 (24-Inch) - 2016,Surly Ice Cream Truck Frameset - 2016,Electra Townie Original 7D EQ - Women's - 2016,Trek Stache 5 - 2018,Electra Townie Commute Go! - 2018,Trek Super Commuter+ 7 - 2018"
32,Araceli Golden,6,3262.483333333333,"Electra Cruiser 1 (24-Inch) - 2016,Surly Straggler - 2016,Pure Cycles Vine 8-Speed - 2016,Trek Powerfly 8 FS Plus - 2017,Trek Emonda ALR 6 - 2018,Trek Domane AL 2 Women's - 2018"
33,Deloris Burke,8,2618.5662499999994,"Trek Fuel EX 8 29 - 2016,Electra Townie Original 21D - 2016,Electra Moto 3i (20-inch) - Boy's - 2017,Trek Domane ALR 4 Disc Women's - 2018,Trek Emonda SLR 6 - 2018,Trek Verve+ - 2018,Electra Townie Commute Go! - 2018,Trek X-Caliber 8 - 2017"
34,Brittney Woodward,4,3204.0325,"Sun Bicycles Atlas X-Type - 2017,Trek Domane SL 5 Women's - 2018,Trek Conduit+ - 2018,Trek Verve+ - 2018"
35,Guillermina Noble,8,3097.32125,"Trek Fuel EX 9.8 27.5 Plus - 2017,Trek Precaliber 24 (21-Speed) - Girls - 2017,Trek Fuel EX 8 29 XT - 2018,Electra Loft Go! 8i - 2018,Strider Strider 20 Sport - 2018,Trek Domane SL 6 - 2017,Electra Treasure 1 20"" - 2018,Electra Townie Original 21D EQ - 2017/2018"
36,Bernita Mcdaniel,3,2133.2133333333336,"Trek Remedy 29 Carbon Frameset - 2016,Electra Townie Original 21D - 2016,Electra Relic 3i - 2018"
37,Melia Brady,7,2450.7371428571428,"Heller Shagamaw Frame - 2016,Surly Steamroller - 2017,Trek Powerfly 8 FS Plus - 2017,Surly Straggler - 2018,Electra Townie Commute Go! Ladies' - 2018,Electra Treasure 1 20"" - 2018,Electra Townie Original 1 Ladies' - 2018"
38,Zelma Browning,6,3899.521666666666,"Trek Fuel EX 9.8 29 - 2017,Electra Townie Original 7D - 2017,Haro Shredder 20 - 2017,Trek Domane SL Frameset - 2018,Surly Pack Rat - 2018,Trek Lift+ - 2018"
39,Janetta Aguirre,7,2734.7342857142858,"Surly Karate Monkey 27.5+ Frameset - 2017,Sun Bicycles Streamway - 2017,Trek Girl's Kickster - 2017,Trek Domane SL 8 Disc - 2018,Trek Conduit+ - 2018,Electra Townie Original 3i EQ - 2017/2018,Electra Townie Original 21D Ladies' - 2018"
40,Ronna Butler,10,1876.7420000000002,"Trek Fuel EX 8 29 - 2016,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra Townie Original 7D EQ - 2016,Ritchey Timberwolf Frameset - 2016,Pure Cycles Western 3-Speed - Women's - 2015/2016,Surly Ice Cream Truck Frameset - 2017,Trek Session DH 27.5 Carbon Frameset - 2017,Surly Karate Monkey 27.5+ Frameset - 2017,Electra Townie Original 3i EQ Ladies' - 2018,Electra Townie Balloon 3i EQ Ladies' - 2018"
41,Kathie Freeman,5,882.61,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Trek X-Caliber 8 - 2017,Haro Flightline Two 26 Plus - 2017,Sun Bicycles Atlas X-Type - 2017,Haro Flightline One ST - 2017"
42,Tangela Quinn,7,1448.2942857142857,"Sun Bicycles Brickell Tandem 7 - 2017,Electra Girl's Hawaii 1 16"" - 2017,Electra Townie Original 7D - 2017,Pure Cycles Western 3-Speed - Women's - 2015/2016,Trek Domane SL Disc Frameset - 2017,Electra Townie 7D (20-inch) - Boys' - 2017,Electra Cruiser 7D Ladies' - 2016/2018"
43,Mozelle Carter,11,2307.3581818181815,"Trek Fuel EX 8 29 - 2016,Trek Slash 8 27.5 - 2016,Surly Ice Cream Truck Frameset - 2016,Haro Flightline Two 26 Plus - 2017,Sun Bicycles Lil Bolt Type-R - 2017,Electra Girl's Hawaii 1 16"" - 2017,Surly Straggler - 2016,Trek Marlin 6 - 2018,Trek Domane AL 3 Women's - 2018,Electra Cruiser 1 Ladies' - 2018"
44,Onita Johns,5,513.802,"Electra Cruiser 1 (24-Inch) - 2016,Electra Townie Original 7D - 2015/2016,Trek Precaliber 12 Girls - 2017,Electra Moto 1 - 2016,Strider Strider 20 Sport - 2018"
45,Bennett Armstrong,4,978.035,"Surly Troll Frameset - 2017,Haro SR 1.2 - 2017,Sun Bicycles Boardwalk (24-inch Wheels) - 2017,Sun Bicycles Streamway 7 - 2017"
46,Monika Berg,7,1369.8914285714286,"Ritchey Timberwolf Frameset - 2016,Trek Conduit+ - 2016,Electra Townie Original 7D EQ - Women's - 2016,Surly Ice Cream Truck Frameset - 2017,Electra Amsterdam Original 3i - 2015/2017,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra Townie Commute 27D - 2018"
47,Bridgette Guerra,10,1953.7760000000003,"Electra Moto 3i (20-inch) - Boy's - 2017,Sun Bicycles Streamway 7 - 2017,Surly Troll Frameset - 2017,Trek Boy's Kickster - 2015/2017,Trek Precaliber 16 Boys - 2017,Trek Domane ALR Disc Frameset - 2018,Trek Verve+ - 2018,Electra Townie Go! 8i Ladies' - 2018,Electra Amsterdam Royal 8i Ladies - 2018,Trek Precaliber 16 Girl's - 2018"
48,Cesar Jackson,6,2243.093333333333,"Trek Fuel EX 5 27.5 Plus - 2017,Sun Bicycles Drifter 7 - Women's - 2017,Heller Bloodhound Trail - 2018,Electra Cyclosaurus 1 (16-inch) - Boy's - 2018,Electra Water Lily 1 (16-inch) - Girl's - 2018,Electra Townie Balloon 3i EQ Ladies' - 2018"
49,Caroll Hays,2,981.685,"Surly Wednesday Frameset - 2016,Sun Bicycles Streamway - 2017"
50,Cleotilde Booth,7,2549.7200000000003,"Surly Wednesday Frameset - 2016,Pure Cycles Western 3-Speed - Women's - 2015/2016,Electra Townie Original 7D EQ - Women's - 2016,Electra Townie Original 7D - 2015/2016,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Trek Silque SLR 7 Women's - 2017"
51,Gertrud Rhodes,4,2092.0125000000003,"Ritchey Timberwolf Frameset - 2016,Surly Straggler - 2016,Surly Troll Frameset - 2018,Trek Precaliber 24 (7-Speed) - Boys - 2018"
52,Tu Ramirez,6,1155.2300000000002,"Surly Straggler 650b - 2016,Electra Moto 1 - 2016,Sun Bicycles Revolutions 24 - Girl's - 2017,Surly Straggler - 2018,Electra Moto 3i - 2018,Electra Townie Original 7D EQ Ladies' - 2017/2018"
53,Saturnina Garner,10,1613.711,"Ritchey Timberwolf Frameset - 2016,Heller Shagamaw Frame - 2016,Trek Conduit+ - 2016,Surly Straggler - 2016,Electra Moto 1 - 2016,Electra Townie 3i EQ (20-inch) - Boys' - 2017,Trek Farley Carbon Frameset - 2018,Trek X-Caliber Frameset - 2018,Electra Townie Original 21D EQ Ladies' - 2018,Electra Cruiser Lux 3i Ladies' - 2018"
54,Fran Yang,6,3094.525,"Surly Ice Cream Truck Frameset - 2016,Trek Slash 8 27.5 - 2016,Electra Townie Original 7D EQ - 2016,Pure Cycles Western 3-Speed - Women's - 2015/2016,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Trek Domane SLR 9 Disc - 2018"
55,Diana Guerra,5,934.568,"Electra Townie Original 7D EQ - 2016,Haro Flightline One ST - 2017,Sun Bicycles Atlas X-Type - 2017,Electra Amsterdam Fashion 3i Ladies' - 2017/2018,Trek Precaliber 20 Girl's - 2018"
56,Lolita Mosley,5,1435.9099999999999,"Electra Townie Original 7D - 2017,Haro Downtown 16 - 2017,Electra Under-The-Sea 1 16"" - 2018,Trek Domane S 5 Disc - 2017,Trek Madone 9 Frameset - 2018"
57,Pamala Henry,6,1373.1200000000001,"Heller Shagamaw Frame - 2016,Trek Remedy 29 Carbon Frameset - 2016,Pure Cycles William 3-Speed - 2016,Electra Townie Original 7D EQ - 2016,Haro Shift R3 - 2017,Trek X-Caliber 8 - 2018"
58,Damien Dorsey,10,2468.469,"Trek Stache 5 - 2017,Haro SR 1.2 - 2017,Trek Emonda S 4 - 2017,Trek Domane S 6 - 2017,Sun Bicycles Streamway 3 - 2017,Haro Flightline One ST - 2017,Sun Bicycles Boardwalk (24-inch Wheels) - 2017,Surly Troll Frameset - 2018,Trek Domane SL 6 Disc - 2018,Electra Under-The-Sea 1 16"" - 2018"
59,Latasha Stanley,8,1927.34125,"Trek Slash 8 27.5 - 2016,Electra Townie Original 7D EQ - 2016,Electra Cruiser 1 (24-Inch) - 2016,Trek Domane SLR 6 Disc - 2017,Trek Domane ALR 4 Disc Women's - 2018,Electra Townie Balloon 8D EQ - 2016/2017/2018,Electra Townie Original 21D EQ Ladies' - 2018"
60,Neil Mccall,6,1858.163333333333,"Trek Slash 8 27.5 - 2016,Haro Flightline One ST - 2017,Haro Shredder 20 - 2017,Electra Girl's Hawaii 1 16"" - 2017,Electra Townie Original 21D EQ - 2017/2018,Electra Townie Balloon 7i EQ - 2018"
61,Elinore Aguilar,10,2965.952,"Heller Shagamaw Frame - 2016,Trek Remedy 29 Carbon Frameset - 2016,Electra Townie Original 21D - 2016,Trek Fuel EX 8 29 - 2016,Electra Townie Original 7D EQ - 2016,Surly Big Dummy Frameset - 2017,Trek Fuel EX 9.8 29 - 2017,Trek CrossRip 1 - 2018,Trek Powerfly 5 Women's - 2018,Electra Townie Commute 27D Ladies - 2018"
62,Alica Hunter,5,913.6400000000001,"Pure Cycles Western 3-Speed - Women's - 2015/2016,Electra Townie Original 7D - 2015/2016,Electra Townie Original 7D EQ - 2016,Surly Ogre Frameset - 2017,Trek Stache Carbon Frameset - 2018"
63,Tenisha Lyons,10,2194.0779999999995,"Surly Big Dummy Frameset - 2017,Haro Shift R3 - 2017,Sun Bicycles Streamway - 2017,Trek Domane ALR 5 Gravel - 2018,Electra Townie Balloon 7i EQ Ladies' - 2017/2018,Trek Fuel EX 8 29 - 2016,Haro SR 1.3 - 2017,Trek Domane S 6 - 2017,Trek Farley Carbon Frameset - 2018,Electra Townie Go! 8i Ladies' - 2018"
64,Bobbie Foster,10,949.0779999999999,"Surly Wednesday Frameset - 2016,Trek Slash 8 27.5 - 2016,Electra Cruiser 1 (24-Inch) - 2016,Electra Moto 1 - 2016,Electra Townie Original 7D EQ - 2016,Heller Shagamaw Frame - 2016,Haro Flightline Two 26 Plus - 2017,Sun Bicycles Revolutions 24 - 2017,Electra Cruiser Lux 1 Ladies' - 2018"
65,Kanesha Vega,6,1996.3899999999996,"Heller Shagamaw Frame - 2016,Trek Remedy 29 Carbon Frameset - 2016,Trek Conduit+ - 2016,Pure Cycles Western 3-Speed - Women's - 2015/2016,Trek Domane SL 5 - 2018,Electra Under-The-Sea 1 16"" - 2018"
66,Lorrie Becker,9,2882.172222222222,"Trek Fuel EX 8 29 - 2016,Surly Straggler 650b - 2016,Pure Cycles William 3-Speed - 2016,Trek Fuel EX 9.8 27.5 Plus - 2017,Sun Bicycles Cruz 3 - 2017,Trek CrossRip+ - 2018,Trek XM700+ Lowstep - 2018,Strider Classic 12 Balance Bike - 2018,Electra Townie Commute 27D Ladies - 2018"
67,Tommie Melton,3,536.5733333333333,"Surly Ice Cream Truck Frameset - 2016,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Haro SR 1.2 - 2017"
68,Jayne Kirkland,7,1691.7114285714285,"Surly Troll Frameset - 2017,Electra Savannah 3i (20-inch) - Girl's - 2017,Surly Karate Monkey 27.5+ Frameset - 2017,Trek Remedy 7 27.5 - 2018,Trek Crockett 7 Disc - 2018,Electra Amsterdam Fashion 3i Ladies' - 2017/2018,Electra Straight 8 3i - 2018"
69,Katelin Kennedy,4,2314.705,"Trek Domane SL Disc Frameset - 2017,Trek Domane AL 2 - 2018,Electra Cruiser Lux 1 Ladies' - 2018,Strider Sport 16 - 2018"
70,Tomasa Carson,4,4677.2725,"Trek Powerfly 8 FS Plus - 2017,Trek Precaliber 16 Boys - 2017,Haro Shredder Pro 20 - 2017,Trek Boone 7 Disc - 2018"
71,Takako Casey,2,1006.365,"Surly Wednesday - 2017,Trek 820 - 2018"
72,Petronila Norris,5,2967.416,"Surly Wednesday Frameset - 2016,Electra Moto 1 - 2016,Pure Cycles Vine 8-Speed - 2016,Trek Powerfly 8 FS Plus - 2017,Trek Domane AL 3 - 2018"
73,Melanie Hayes,7,4912.837142857143,"Surly Karate Monkey 27.5+ Frameset - 2017,Trek Silque SLR 8 Women's - 2017,Trek Madone 9.2 - 2017,Sun Bicycles Revolutions 24 - 2017,Sun Bicycles Cruz 3 - Women's - 2017,Haro Shift R3 - 2017,Trek Verve+ Lowstep - 2018"
74,Georgeann Waller,2,2229.8849999999998,"Trek Slash 8 27.5 - 2016,Trek Precaliber 20 Girl's - 2018"
75,Abby Gamble,7,5357.038571428572,"Trek Boone 7 - 2017,Electra Amsterdam Original 3i Ladies' - 2017,Haro Shredder 20 - 2017,Sun Bicycles Drifter 7 - Women's - 2017,Trek Domane SLR 8 Disc - 2018,Trek Domane SL 7 Women's - 2018,Trek Domane SL 6 Disc - 2018"
76,Parker Prince,8,1026.01,"Surly Ice Cream Truck Frameset - 2016,Electra Townie Original 7D EQ - 2016,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Haro Shredder 20 Girls - 2017,Electra Savannah 3i (20-inch) - Girl's - 2017,Sun Bicycles Cruz 3 - Women's - 2017,Trek Procaliber 6 - 2018,Trek CrossRip 1 - 2018"
77,Keri Bridges,6,1523.2466666666667,"Heller Shagamaw Frame - 2016,Electra Townie Original 7D EQ - Women's - 2016,Trek Conduit+ - 2016,Pure Cycles Western 3-Speed - Women's - 2015/2016,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Trek XM700+ Lowstep - 2018"
78,Chi Goff,4,927.4125,"Electra Townie 7D (20-inch) - Boys' - 2017,Electra Girl's Hawaii 1 16"" - 2017,Trek Ticket S Frame - 2018,Trek Stache 5 - 2018"
79,Ashanti Parks,9,1960.0788888888887,"Surly Straggler 650b - 2016,Electra Townie Original 7D EQ - 2016,Electra Townie 3i EQ (20-inch) - Boys' - 2017,Sun Bicycles Cruz 3 - 2017,Haro SR 1.3 - 2017,Trek Ticket S Frame - 2018,Trek Verve+ Lowstep - 2018,Trek Boone 5 Disc - 2018,Electra Townie Balloon 7i EQ Ladies' - 2017/2018"
80,Sarai Mckee,6,1785.7533333333333,"Trek Remedy 29 Carbon Frameset - 2016,Surly Straggler - 2016,Pure Cycles Vine 8-Speed - 2016,Electra Townie Original 7D EQ - Women's - 2016,Electra Townie Original 21D - 2018,Electra Townie Commute 8D Ladies' - 2018"
81,Zina Bonner,4,1539.81,"Electra Moto 1 - 2016,Trek Boy's Kickster - 2015/2017,Trek Domane ALR Disc Frameset - 2018,Electra Townie Balloon 3i EQ Ladies' - 2018"
82,Lizzie Joyner,7,3142.3585714285714,"Trek Remedy 9.8 - 2017,Sun Bicycles Lil Bolt Type-R - 2017,Sun Bicycles Streamway 7 - 2017,Sun Bicycles ElectroLite - 2017,Electra Girl's Hawaii 1 16"" - 2017,Trek Remedy 7 27.5 - 2018,Electra Townie Original 1 - 2018"
83,Tiesha Daniel,8,1060.83625,"Trek Fuel EX 8 29 - 2016,Electra Townie Original 21D - 2016,Electra Cruiser 1 (24-Inch) - 2016,Pure Cycles William 3-Speed - 2016,Electra Townie Original 7D EQ - 2016,Electra Cruiser Lux 3i Ladies' - 2018,Electra Townie Balloon 7i EQ Ladies' - 2017/2018,Trek Kickster - 2018"
84,Armand Whitehead,6,1291.3983333333333,"Trek Conduit+ - 2016,Pure Cycles Western 3-Speed - Women's - 2015/2016,Sun Bicycles ElectroLite - 2017,Electra Straight 8 3i (20-inch) - Boy's - 2017,Trek Marlin 5 - 2018,Trek Precaliber 12 Boy's - 2018"
85,Teofila Fischer,10,2577.1319999999996,"Trek Slash 8 27.5 - 2016,Surly Straggler 650b - 2016,Trek Farley Alloy Frameset - 2017,Trek Powerfly 8 FS Plus - 2017,Electra Amsterdam Fashion 7i Ladies' - 2017,Trek Stache 5 - 2017,Electra Amsterdam Royal 8i Ladies - 2018,Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018,Electra Tiger Shark 1 (20-inch) - Boys' - 2018"
86,Lissa Vargas,7,2133.8685714285716,"Surly Wednesday Frameset - 2016,Trek Fuel EX 8 29 - 2016,Electra Townie Original 7D EQ - 2016,Electra Townie Original 21D - 2016,Heller Shagamaw GX1 - 2018,Electra Sweet Ride 3i (20-inch) - Girls' - 2018,Electra Townie Balloon 8D EQ Ladies' - 2016/2017/2018"
87,Yan Mcgowan,6,2410.0116666666668,"Surly Wednesday Frameset - 2017,Electra Amsterdam Fashion 7i Ladies' - 2017,Trek Girl's Kickster - 2017,Sun Bicycles Drifter 7 - 2017,Trek Powerfly 7 FS - 2018,Electra Townie Commute 27D Ladies - 2018"
88,Titus Bullock,5,2200.06,"Electra Townie Original 21D - 2016,Electra Townie Original 7D EQ - Women's - 2016,Trek Domane SL Disc Frameset - 2017,Sun Bicycles Revolutions 24 - 2017,Trek Fuel EX 8 29 - 2018"
