customer_id,first_name,last_name,email,phone,purchased_products
21,Tobie,Little,tobie.little@gmail.com,,"['Trek Boone 7 - 2017', 'Electra Cruiser Lux 1 - 2017', 'Trek CrossRip 2 - 2018', 'Trek Domane SL 6 - 2018', 'Electra Cruiser 1 Tall - 2016/2018', 'Strider Strider 20 Sport - 2018', 'Electra Townie Balloon 7i EQ - 2018', ""Pure Cycles Western 3-Speed - Women's - 2015/2016"", 'Trek Precaliber 24 (21-Speed) - Girls - 2017']"
22,Adelle,Larsen,adelle.larsen@gmail.com,,"['Surly Straggler 650b - 2016', 'Electra Townie Original 21D - 2016', 'Pure Cycles Vine 8-Speed - 2016', 'Pure Cycles William 3-Speed - 2016', 'Electra Townie Original 21D - 2016', 'Trek Fuel EX 9.8 27.5 Plus - 2017', 'Electra Cruiser Lux 3i - 2018']"
23,Kaylee,English,kaylee.english@msn.com,,"['Sun Bicycles Biscayne Tandem 7 - 2017', ""Electra Townie Commute Go! Ladies' - 2018"", 'Electra Townie Commute 27D - 2018']"
24,Corene,Wall,corene.wall@msn.com,,"['Trek Remedy 29 Carbon Frameset - 2016', ""Electra Townie Original 7D EQ - Women's - 2016"", ""Electra Townie Original 7D EQ - Women's - 2016"", 'Surly Wednesday - 2017', 'Haro Flightline One ST - 2017', 'Haro Shift R3 - 2017', 'Trek Conduit+ - 2016', 'Electra Moto 1 - 2016', 'Trek X-Caliber 7 - 2018', 'Electra Super Moto 8i - 2018', 'Strider Classic 12 Balance Bike - 2018']"
25,Regenia,Vaughan,regenia.vaughan@gmail.com,,"['Trek Emonda S 4 - 2017', 'Trek Boone Race Shop Limited - 2017', 'Sun Bicycles Streamway 3 - 2017', 'Pure Cycles Vine 8-Speed - 2016', 'Haro Shift R3 - 2017', 'Surly Krampus - 2018', 'Trek Domane ALR 4 Disc - 2018', ""Electra Straight 8 1 (20-inch) - Boy's - 2018""]"
26,Theo,Reese,theo.reese@gmail.com,(562) 215-2907,"['Surly Straggler 650b - 2016', 'Electra Cruiser 1 (24-Inch) - 2016', 'Sun Bicycles Lil Bolt Type-R - 2017', 'Haro Downtown 16 - 2017', 'Surly Krampus - 2018', 'Trek Emonda SL 7 - 2018', 'Strider Strider 20 Sport - 2018']"
27,Santos,Valencia,santos.valencia@yahoo.com,,"['Trek Fuel EX 8 29 - 2016', 'Electra Townie Original 21D - 2016', ""Electra Amsterdam Original 3i Ladies' - 2017"", 'Haro Shredder 20 - 2017', 'Electra Delivery 3i - 2016/2017/2018', ""Electra Townie Balloon 8D EQ Ladies' - 2016/2017/2018""]"
28,Jeanice,Frost,jeanice.frost@hotmail.com,,"['Trek Conduit+ - 2016', 'Trek Fuel EX 5 27.5 Plus - 2017', 'Haro SR 1.2 - 2017', ""Electra Amsterdam Fashion 7i Ladies' - 2017"", 'Sun Bicycles Streamway 3 - 2017', ""Trek Silque SLR 8 Women's - 2017"", 'Sun Bicycles Biscayne Tandem CB - 2017', ""Electra Moto 3i (20-inch) - Boy's - 2017"", ""Electra Koa 3i Ladies' - 2018"", ""Trek Precaliber 20 Boy's - 2018""]"
29,Syreeta,Hendricks,syreeta.hendricks@msn.com,,"['Electra Townie Original 7D - 2015/2016', 'Trek Fuel EX 5 27.5 Plus - 2017', 'Trek Madone 9.2 - 2017', ""Electra Townie Commute Go! Ladies' - 2018""]"
30,Jamaal,Albert,jamaal.albert@gmail.com,,"[""Electra Townie Original 7D EQ - Women's - 2016"", 'Surly Straggler - 2016', 'Electra Moto 1 - 2016', 'Electra Townie Original 7D EQ - 2016', ""Electra Townie Original 7D EQ - Women's - 2016"", ""Electra Girl's Hawaii 1 (16-inch) - 2015/2016"", 'Electra Townie Original 21D - 2016', 'Trek Precaliber 16 Boys - 2017', 'Electra Townie Original 7D - 2017', 'Electra Townie Commute Go! - 2018']"
31,Williemae,Holloway,williemae.holloway@msn.com,(510) 246-8375,"['Surly Wednesday Frameset - 2016', ""Pure Cycles Western 3-Speed - Women's - 2015/2016"", 'Electra Cruiser 1 (24-Inch) - 2016', 'Surly Wednesday Frameset - 2016', 'Surly Ice Cream Truck Frameset - 2016', ""Electra Townie Original 7D EQ - Women's - 2016"", 'Trek Stache 5 - 2018', 'Electra Townie Commute Go! - 2018', 'Trek Super Commuter+ 7 - 2018']"
32,Araceli,Golden,araceli.golden@msn.com,,"['Electra Cruiser 1 (24-Inch) - 2016', 'Surly Straggler - 2016', 'Pure Cycles Vine 8-Speed - 2016', 'Trek Powerfly 8 FS Plus - 2017', 'Trek Emonda ALR 6 - 2018', ""Trek Domane AL 2 Women's - 2018""]"
33,Deloris,Burke,deloris.burke@hotmail.com,,"['Trek Fuel EX 8 29 - 2016', 'Electra Townie Original 21D - 2016', ""Electra Moto 3i (20-inch) - Boy's - 2017"", ""Trek Domane ALR 4 Disc Women's - 2018"", 'Trek Emonda SLR 6 - 2018', 'Trek Verve+ - 2018', 'Electra Townie Commute Go! - 2018', 'Trek X-Caliber 8 - 2017']"
34,Brittney,Woodward,brittney.woodward@aol.com,,"['Sun Bicycles Atlas X-Type - 2017', ""Trek Domane SL 5 Women's - 2018"", 'Trek Conduit+ - 2018', 'Trek Verve+ - 2018']"
35,Guillermina,Noble,guillermina.noble@msn.com,,"['Trek Fuel EX 9.8 27.5 Plus - 2017', 'Trek Precaliber 24 (21-Speed) - Girls - 2017', 'Trek Fuel EX 8 29 XT - 2018', 'Electra Loft Go! 8i - 2018', 'Strider Strider 20 Sport - 2018', 'Trek Domane SL 6 - 2017', 'Electra Treasure 1 20"" - 2018', 'Electra Townie Original 21D EQ - 2017/2018']"
36,Bernita,Mcdaniel,bernita.mcdaniel@hotmail.com,,"['Trek Remedy 29 Carbon Frameset - 2016', 'Electra Townie Original 21D - 2016', 'Electra Relic 3i - 2018']"
37,Melia,Brady,melia.brady@gmail.com,,"['Heller Shagamaw Frame - 2016', 'Surly Steamroller - 2017', 'Trek Powerfly 8 FS Plus - 2017', 'Surly Straggler - 2018', ""Electra Townie Commute Go! Ladies' - 2018"", 'Electra Treasure 1 20"" - 2018', ""Electra Townie Original 1 Ladies' - 2018""]"
38,Zelma,Browning,zelma.browning@aol.com,,"['Trek Fuel EX 9.8 29 - 2017', 'Electra Townie Original 7D - 2017', 'Haro Shredder 20 - 2017', 'Trek Domane SL Frameset - 2018', 'Surly Pack Rat - 2018', 'Trek Lift+ - 2018']"
39,Janetta,Aguirre,janetta.aguirre@aol.com,(717) 670-2634,"['Surly Karate Monkey 27.5+ Frameset - 2017', 'Sun Bicycles Streamway - 2017', ""Trek Girl's Kickster - 2017"", 'Trek Domane SL 8 Disc - 2018', 'Trek Conduit+ - 2018', 'Electra Townie Original 3i EQ - 2017/2018', ""Electra Townie Original 21D Ladies' - 2018""]"
40,Ronna,Butler,ronna.butler@gmail.com,,"['Trek Fuel EX 8 29 - 2016', ""Electra Girl's Hawaii 1 (16-inch) - 2015/2016"", 'Electra Townie Original 7D EQ - 2016', 'Ritchey Timberwolf Frameset - 2016', ""Pure Cycles Western 3-Speed - Women's - 2015/2016"", 'Surly Ice Cream Truck Frameset - 2017', 'Trek Session DH 27.5 Carbon Frameset - 2017', 'Surly Karate Monkey 27.5+ Frameset - 2017', ""Electra Townie Original 3i EQ Ladies' - 2018"", ""Electra Townie Balloon 3i EQ Ladies' - 2018""]"
41,Kathie,Freeman,kathie.freeman@msn.com,,"[""Electra Girl's Hawaii 1 (16-inch) - 2015/2016"", 'Trek X-Caliber 8 - 2017', 'Haro Flightline Two 26 Plus - 2017', 'Sun Bicycles Atlas X-Type - 2017', 'Haro Flightline One ST - 2017']"
42,Tangela,Quinn,tangela.quinn@aol.com,,"['Sun Bicycles Brickell Tandem 7 - 2017', 'Electra Girl\'s Hawaii 1 16"" - 2017', 'Electra Townie Original 7D - 2017', ""Pure Cycles Western 3-Speed - Women's - 2015/2016"", 'Trek Domane SL Disc Frameset - 2017', ""Electra Townie 7D (20-inch) - Boys' - 2017"", ""Electra Cruiser 7D Ladies' - 2016/2018""]"
43,Mozelle,Carter,mozelle.carter@aol.com,(281) 489-9656,"['Trek Fuel EX 8 29 - 2016', 'Trek Slash 8 27.5 - 2016', 'Surly Ice Cream Truck Frameset - 2016', 'Haro Flightline Two 26 Plus - 2017', 'Sun Bicycles Lil Bolt Type-R - 2017', 'Electra Girl\'s Hawaii 1 16"" - 2017', 'Trek Slash 8 27.5 - 2016', 'Surly Straggler - 2016', 'Trek Marlin 6 - 2018', ""Trek Domane AL 3 Women's - 2018"", ""Electra Cruiser 1 Ladies' - 2018""]"
44,Onita,Johns,onita.johns@msn.com,,"['Electra Cruiser 1 (24-Inch) - 2016', 'Electra Townie Original 7D - 2015/2016', 'Trek Precaliber 12 Girls - 2017', 'Electra Moto 1 - 2016', 'Strider Strider 20 Sport - 2018']"
45,Bennett,Armstrong,bennett.armstrong@aol.com,,"['Surly Troll Frameset - 2017', 'Haro SR 1.2 - 2017', 'Sun Bicycles Boardwalk (24-inch Wheels) - 2017', 'Sun Bicycles Streamway 7 - 2017']"
46,Monika,Berg,monika.berg@gmail.com,,"['Ritchey Timberwolf Frameset - 2016', 'Trek Conduit+ - 2016', ""Electra Townie Original 7D EQ - Women's - 2016"", 'Surly Ice Cream Truck Frameset - 2017', 'Electra Amsterdam Original 3i - 2015/2017', ""Electra Girl's Hawaii 1 (16-inch) - 2015/2016"", 'Electra Townie Commute 27D - 2018']"
47,Bridgette,Guerra,bridgette.guerra@hotmail.com,,"[""Electra Moto 3i (20-inch) - Boy's - 2017"", 'Sun Bicycles Streamway 7 - 2017', 'Surly Troll Frameset - 2017', ""Trek Boy's Kickster - 2015/2017"", 'Trek Precaliber 16 Boys - 2017', 'Trek Domane ALR Disc Frameset - 2018', 'Trek Verve+ - 2018', ""Electra Townie Go! 8i Ladies' - 2018"", 'Electra Amsterdam Royal 8i Ladies - 2018', ""Trek Precaliber 16 Girl's - 2018""]"
48,Cesar,Jackson,cesar.jackson@gmail.com,,"['Trek Fuel EX 5 27.5 Plus - 2017', ""Sun Bicycles Drifter 7 - Women's - 2017"", 'Heller Bloodhound Trail - 2018', ""Electra Cyclosaurus 1 (16-inch) - Boy's - 2018"", ""Electra Water Lily 1 (16-inch) - Girl's - 2018"", ""Electra Townie Balloon 3i EQ Ladies' - 2018""]"
49,Caroll,Hays,caroll.hays@yahoo.com,,"['Surly Wednesday Frameset - 2016', 'Sun Bicycles Streamway - 2017']"
50,Cleotilde,Booth,cleotilde.booth@gmail.com,,"['Surly Wednesday Frameset - 2016', ""Pure Cycles Western 3-Speed - Women's - 2015/2016"", ""Electra Townie Original 7D EQ - Women's - 2016"", 'Surly Wednesday Frameset - 2016', 'Electra Townie Original 7D - 2015/2016', ""Electra Girl's Hawaii 1 (20-inch) - 2015/2016"", ""Trek Silque SLR 7 Women's - 2017""]"
51,Gertrud,Rhodes,gertrud.rhodes@aol.com,,"['Ritchey Timberwolf Frameset - 2016', 'Surly Straggler - 2016', 'Surly Troll Frameset - 2018', 'Trek Precaliber 24 (7-Speed) - Boys - 2018']"
52,Tu,Ramirez,tu.ramirez@hotmail.com,,"['Surly Straggler 650b - 2016', 'Electra Moto 1 - 2016', ""Sun Bicycles Revolutions 24 - Girl's - 2017"", 'Surly Straggler - 2018', 'Electra Moto 3i - 2018', ""Electra Townie Original 7D EQ Ladies' - 2017/2018""]"
53,Saturnina,Garner,saturnina.garner@gmail.com,,"['Ritchey Timberwolf Frameset - 2016', 'Heller Shagamaw Frame - 2016', 'Trek Conduit+ - 2016', 'Surly Straggler - 2016', 'Electra Moto 1 - 2016', ""Electra Townie 3i EQ (20-inch) - Boys' - 2017"", 'Trek Farley Carbon Frameset - 2018', 'Trek X-Caliber Frameset - 2018', ""Electra Townie Original 21D EQ Ladies' - 2018"", ""Electra Cruiser Lux 3i Ladies' - 2018""]"
54,Fran,Yang,fran.yang@hotmail.com,,"['Surly Ice Cream Truck Frameset - 2016', 'Trek Slash 8 27.5 - 2016', 'Electra Townie Original 7D EQ - 2016', ""Pure Cycles Western 3-Speed - Women's - 2015/2016"", ""Electra Girl's Hawaii 1 (20-inch) - 2015/2016"", 'Trek Domane SLR 9 Disc - 2018']"
55,Diana,Guerra,diana.guerra@hotmail.com,,"['Electra Townie Original 7D EQ - 2016', 'Haro Flightline One ST - 2017', 'Sun Bicycles Atlas X-Type - 2017', ""Electra Amsterdam Fashion 3i Ladies' - 2017/2018"", ""Trek Precaliber 20 Girl's - 2018""]"
56,Lolita,Mosley,lolita.mosley@hotmail.com,(281) 363-3309,"['Electra Townie Original 7D - 2017', 'Haro Downtown 16 - 2017', 'Electra Under-The-Sea 1 16"" - 2018', 'Trek Domane S 5 Disc - 2017', 'Trek Madone 9 Frameset - 2018']"
57,Pamala,Henry,pamala.henry@aol.com,,"['Heller Shagamaw Frame - 2016', 'Trek Remedy 29 Carbon Frameset - 2016', 'Pure Cycles William 3-Speed - 2016', 'Electra Townie Original 7D EQ - 2016', 'Haro Shift R3 - 2017', 'Trek X-Caliber 8 - 2018']"
58,Damien,Dorsey,damien.dorsey@yahoo.com,,"['Trek Stache 5 - 2017', 'Haro SR 1.2 - 2017', 'Trek Emonda S 4 - 2017', 'Trek Domane S 6 - 2017', 'Sun Bicycles Streamway 3 - 2017', 'Haro Flightline One ST - 2017', 'Sun Bicycles Boardwalk (24-inch Wheels) - 2017', 'Surly Troll Frameset - 2018', 'Trek Domane SL 6 Disc - 2018', 'Electra Under-The-Sea 1 16"" - 2018']"
59,Latasha,Stanley,latasha.stanley@gmail.com,,"['Trek Slash 8 27.5 - 2016', 'Electra Townie Original 7D EQ - 2016', 'Electra Cruiser 1 (24-Inch) - 2016', 'Electra Townie Original 7D EQ - 2016', 'Trek Domane SLR 6 Disc - 2017', ""Trek Domane ALR 4 Disc Women's - 2018"", 'Electra Townie Balloon 8D EQ - 2016/2017/2018', ""Electra Townie Original 21D EQ Ladies' - 2018""]"
60,Neil,Mccall,neil.mccall@gmail.com,,"['Trek Slash 8 27.5 - 2016', 'Haro Flightline One ST - 2017', 'Haro Shredder 20 - 2017', 'Electra Girl\'s Hawaii 1 16"" - 2017', 'Electra Townie Original 21D EQ - 2017/2018', 'Electra Townie Balloon 7i EQ - 2018']"
61,Elinore,Aguilar,elinore.aguilar@msn.com,,"['Heller Shagamaw Frame - 2016', 'Trek Remedy 29 Carbon Frameset - 2016', 'Electra Townie Original 21D - 2016', 'Trek Fuel EX 8 29 - 2016', 'Electra Townie Original 7D EQ - 2016', 'Surly Big Dummy Frameset - 2017', 'Trek Fuel EX 9.8 29 - 2017', 'Trek CrossRip 1 - 2018', ""Trek Powerfly 5 Women's - 2018"", 'Electra Townie Commute 27D Ladies - 2018']"
62,Alica,Hunter,alica.hunter@hotmail.com,,"[""Pure Cycles Western 3-Speed - Women's - 2015/2016"", 'Electra Townie Original 7D - 2015/2016', 'Electra Townie Original 7D EQ - 2016', 'Surly Ogre Frameset - 2017', 'Trek Stache Carbon Frameset - 2018']"
63,Tenisha,Lyons,tenisha.lyons@aol.com,,"['Surly Big Dummy Frameset - 2017', 'Haro Shift R3 - 2017', 'Sun Bicycles Streamway - 2017', 'Trek Domane ALR 5 Gravel - 2018', ""Electra Townie Balloon 7i EQ Ladies' - 2017/2018"", 'Trek Fuel EX 8 29 - 2016', 'Haro SR 1.3 - 2017', 'Trek Domane S 6 - 2017', 'Trek Farley Carbon Frameset - 2018', ""Electra Townie Go! 8i Ladies' - 2018""]"
64,Bobbie,Foster,bobbie.foster@yahoo.com,,"['Surly Wednesday Frameset - 2016', 'Trek Slash 8 27.5 - 2016', 'Electra Cruiser 1 (24-Inch) - 2016', 'Electra Moto 1 - 2016', 'Electra Townie Original 7D EQ - 2016', 'Heller Shagamaw Frame - 2016', 'Electra Cruiser 1 (24-Inch) - 2016', 'Haro Flightline Two 26 Plus - 2017', 'Sun Bicycles Revolutions 24 - 2017', ""Electra Cruiser Lux 1 Ladies' - 2018""]"
65,Kanesha,Vega,kanesha.vega@gmail.com,,"['Heller Shagamaw Frame - 2016', 'Trek Remedy 29 Carbon Frameset - 2016', 'Trek Conduit+ - 2016', ""Pure Cycles Western 3-Speed - Women's - 2015/2016"", 'Trek Domane SL 5 - 2018', 'Electra Under-The-Sea 1 16"" - 2018']"
66,Lorrie,Becker,lorrie.becker@yahoo.com,,"['Trek Fuel EX 8 29 - 2016', 'Surly Straggler 650b - 2016', 'Pure Cycles William 3-Speed - 2016', 'Trek Fuel EX 9.8 27.5 Plus - 2017', 'Sun Bicycles Cruz 3 - 2017', 'Trek CrossRip+ - 2018', 'Trek XM700+ Lowstep - 2018', 'Strider Classic 12 Balance Bike - 2018', 'Electra Townie Commute 27D Ladies - 2018']"
67,Tommie,Melton,tommie.melton@gmail.com,(916) 802-2952,"['Surly Ice Cream Truck Frameset - 2016', ""Electra Girl's Hawaii 1 (16-inch) - 2015/2016"", 'Haro SR 1.2 - 2017']"
68,Jayne,Kirkland,jayne.kirkland@hotmail.com,,"['Surly Troll Frameset - 2017', ""Electra Savannah 3i (20-inch) - Girl's - 2017"", 'Surly Karate Monkey 27.5+ Frameset - 2017', 'Trek Remedy 7 27.5 - 2018', 'Trek Crockett 7 Disc - 2018', ""Electra Amsterdam Fashion 3i Ladies' - 2017/2018"", 'Electra Straight 8 3i - 2018']"
69,Katelin,Kennedy,katelin.kennedy@gmail.com,,"['Trek Domane SL Disc Frameset - 2017', 'Trek Domane AL 2 - 2018', ""Electra Cruiser Lux 1 Ladies' - 2018"", 'Strider Sport 16 - 2018']"
70,Tomasa,Carson,tomasa.carson@aol.com,,"['Trek Powerfly 8 FS Plus - 2017', 'Trek Precaliber 16 Boys - 2017', 'Haro Shredder Pro 20 - 2017', 'Trek Boone 7 Disc - 2018']"
71,Takako,Casey,takako.casey@aol.com,,"['Surly Wednesday - 2017', 'Trek 820 - 2018']"
72,Petronila,Norris,petronila.norris@aol.com,,"['Surly Wednesday Frameset - 2016', 'Electra Moto 1 - 2016', 'Pure Cycles Vine 8-Speed - 2016', 'Trek Powerfly 8 FS Plus - 2017', 'Trek Domane AL 3 - 2018']"
73,Melanie,Hayes,melanie.hayes@msn.com,,"['Surly Karate Monkey 27.5+ Frameset - 2017', ""Trek Silque SLR 8 Women's - 2017"", 'Trek Madone 9.2 - 2017', 'Sun Bicycles Revolutions 24 - 2017', ""Sun Bicycles Cruz 3 - Women's - 2017"", 'Haro Shift R3 - 2017', 'Trek Verve+ Lowstep - 2018']"
74,Georgeann,Waller,georgeann.waller@yahoo.com,,"['Trek Slash 8 27.5 - 2016', ""Trek Precaliber 20 Girl's - 2018""]"
75,Abby,Gamble,abby.gamble@aol.com,,"['Trek Boone 7 - 2017', ""Electra Amsterdam Original 3i Ladies' - 2017"", 'Haro Shredder 20 - 2017', ""Sun Bicycles Drifter 7 - Women's - 2017"", 'Trek Domane SLR 8 Disc - 2018', ""Trek Domane SL 7 Women's - 2018"", 'Trek Domane SL 6 Disc - 2018']"
