customer_id,first_name,last_name,purchase_frequency,avg_order_value,product_preferences
11,Deshawn,Mendoza,5,738.04722,"Trek Domane S 5 Disc - 2017,Trek Precaliber 12 Boys - 2017,Trek Precaliber 16 Boys - 2017,Sun Bicycles Cruz 3 - 2017,Haro Shredder 20 Girls - 2017"
12,Robby,Sykes,8,3038.142425,"Surly Straggler 650b - 2016,Electra Townie Original 7D EQ - 2016,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Trek Silque SLR 7 Women's - 2017,Trek Powerfly 8 FS Plus - 2017,Sun Bicycles Cruz 7 - 2017,Trek Powerfly 5 Women's - 2018,Electra Tiger Shark 1 (20-inch) - Boys' - 2018"
13,Lashawn,Ortiz,8,1846.8072874999998,"Trek Fuel EX 8 29 - 2016,Electra Townie Original 7D EQ - 2016,Pure Cycles Western 3-Speed - Women's - 2015/2016,Electra Cruiser 1 (24-Inch) - 2016,Haro SR 1.3 - 2017,Surly Wednesday Frameset - 2017,Trek Emonda S 5 - 2017,Sun Bicycles Streamway 3 - 2017"
14,Garry,Espinoza,9,1751.8556222222223,"Trek Conduit+ - 2016,Pure Cycles Vine 8-Speed - 2016,Electra Cruiser 1 (24-Inch) - 2016,Electra Townie Original 21D - 2016,Trek Conduit+ - 2016,Trek Fuel EX 8 29 - 2018,Electra Townie Commute Go! - 2018,Electra Super Moto 8i - 2018,Electra Townie Original 21D EQ - 2017/2018"
15,Linnie,Branch,7,1369.5431142857144,"Trek 820 - 2018,Electra Cruiser Lux 1 Ladies' - 2018,Electra Townie Balloon 3i EQ - 2017/2018,Electra Townie Original 21D EQ - 2017/2018,Trek Superfly 24 - 2017/2018,Surly Troll Frameset - 2017,Trek Domane ALR Frameset - 2018"
16,Emmitt,Sanchez,12,2660.490475,"Surly Straggler 650b - 2016,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra Moto 1 - 2016,Electra Townie Original 7D EQ - Women's - 2016,Trek Fuel EX 9.8 29 - 2017,Trek Emonda S 5 - 2017,Sun Bicycles Cruz 7 - 2017,Sun Bicycles Cruz 3 - 2017,Heller Shagamaw GX1 - 2018,Trek Fuel EX 8 29 XT - 2018,Electra Cruiser 1 Ladies' - 2018,Electra Townie Commute Go! - 2018"
17,Caren,Stephens,7,753.6181428571429,"Pure Cycles Vine 8-Speed - 2016,Surly Ice Cream Truck Frameset - 2016,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Trek Kids' Neko - 2018,Trek CrossRip 1 - 2018,Electra Townie Commute 8D Ladies' - 2018,Electra White Water 3i - 2018"
18,Georgetta,Hardin,10,1487.7289,"Surly Ice Cream Truck Frameset - 2016,Pure Cycles Western 3-Speed - Women's - 2015/2016,Sun Bicycles Spider 3i - 2017,Surly Troll Frameset - 2017,Trek Superfly 20 - 2018,Electra Townie Balloon 3i EQ Ladies' - 2018,Trek Ticket S Frame - 2018,Trek Domane ALR Disc Frameset - 2018,Trek XM700+ - 2018,Trek Precaliber 12 Boy's - 2018"
19,Lizzette,Stein,9,1859.999533333333,"Electra Moto 1 - 2016,Trek Domane S 5 Disc - 2017,Haro Shredder 20 - 2017,Haro Shredder 20 Girls - 2017,Sun Bicycles Cruz 3 - Women's - 2017,Trek Domane SLR 6 Disc - 2017,Sun Bicycles Atlas X-Type - 2017,Electra Cruiser Lux Fat Tire 1 Ladies - 2017,Haro Shredder 20 - 2017"
20,Aleta,Shepard,6,1850.4116666666666,"Heller Shagamaw Frame - 2016,Trek Conduit+ - 2016,Surly Straggler 650b - 2016,Surly Straggler - 2016,Sun Bicycles Atlas X-Type - 2017,Electra Cruiser Lux 1 - 2016/2018"
21,Tobie,Little,9,1902.6663888888882,"Trek Boone 7 - 2017,Electra Cruiser Lux 1 - 2017,Trek CrossRip 2 - 2018,Trek Domane SL 6 - 2018,Electra Cruiser 1 Tall - 2016/2018,Strider Strider 20 Sport - 2018,Electra Townie Balloon 7i EQ - 2018,Pure Cycles Western 3-Speed - Women's - 2015/2016,Trek Precaliber 24 (21-Speed) - Girls - 2017"
22,Adelle,Larsen,7,2378.7212,"Surly Straggler 650b - 2016,Electra Townie Original 21D - 2016,Pure Cycles Vine 8-Speed - 2016,Pure Cycles William 3-Speed - 2016,Electra Townie Original 21D - 2016,Trek Fuel EX 9.8 27.5 Plus - 2017,Electra Cruiser Lux 3i - 2018"
23,Kaylee,English,3,1591.9878333333334,"Sun Bicycles Biscayne Tandem 7 - 2017,Electra Townie Commute Go! Ladies' - 2018,Electra Townie Commute 27D - 2018"
24,Corene,Wall,11,1290.9050727272727,"Trek Remedy 29 Carbon Frameset - 2016,Electra Townie Original 7D EQ - Women's - 2016,Electra Townie Original 7D EQ - Women's - 2016,Surly Wednesday - 2017,Haro Flightline One ST - 2017,Haro Shift R3 - 2017,Trek Conduit+ - 2016,Electra Moto 1 - 2016,Trek X-Caliber 7 - 2018,Electra Super Moto 8i - 2018,Strider Classic 12 Balance Bike - 2018"
25,Regenia,Vaughan,8,1816.1572874999997,"Trek Emonda S 4 - 2017,Trek Boone Race Shop Limited - 2017,Sun Bicycles Streamway 3 - 2017,Pure Cycles Vine 8-Speed - 2016,Haro Shift R3 - 2017,Surly Krampus - 2018,Trek Domane ALR 4 Disc - 2018,Electra Straight 8 1 (20-inch) - Boy's - 2018"
26,Theo,Reese,7,1359.1529285714284,"Surly Straggler 650b - 2016,Electra Cruiser 1 (24-Inch) - 2016,Sun Bicycles Lil Bolt Type-R - 2017,Haro Downtown 16 - 2017,Surly Krampus - 2018,Trek Emonda SL 7 - 2018,Strider Strider 20 Sport - 2018"
27,Santos,Valencia,6,1786.5164666666667,"Trek Fuel EX 8 29 - 2016,Electra Townie Original 21D - 2016,Electra Amsterdam Original 3i Ladies' - 2017,Haro Shredder 20 - 2017,Electra Delivery 3i - 2016/2017/2018,Electra Townie Balloon 8D EQ Ladies' - 2016/2017/2018"
28,Jeanice,Frost,10,1999.2864800000002,"Trek Conduit+ - 2016,Trek Fuel EX 5 27.5 Plus - 2017,Haro SR 1.2 - 2017,Electra Amsterdam Fashion 7i Ladies' - 2017,Sun Bicycles Streamway 3 - 2017,Trek Silque SLR 8 Women's - 2017,Sun Bicycles Biscayne Tandem CB - 2017,Electra Moto 3i (20-inch) - Boy's - 2017,Electra Koa 3i Ladies' - 2018,Trek Precaliber 20 Boy's - 2018"
29,Syreeta,Hendricks,4,2994.9866749999997,"Electra Townie Original 7D - 2015/2016,Trek Fuel EX 5 27.5 Plus - 2017,Trek Madone 9.2 - 2017,Electra Townie Commute Go! Ladies' - 2018"
30,Jamaal,Albert,10,1035.53908,"Electra Townie Original 7D EQ - Women's - 2016,Surly Straggler - 2016,Electra Moto 1 - 2016,Electra Townie Original 7D EQ - 2016,Electra Townie Original 7D EQ - Women's - 2016,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra Townie Original 21D - 2016,Trek Precaliber 16 Boys - 2017,Electra Townie Original 7D - 2017,Electra Townie Commute Go! - 2018"
31,Williemae,Holloway,9,2195.1825777777776,"Surly Wednesday Frameset - 2016,Pure Cycles Western 3-Speed - Women's - 2015/2016,Electra Cruiser 1 (24-Inch) - 2016,Surly Wednesday Frameset - 2016,Surly Ice Cream Truck Frameset - 2016,Electra Townie Original 7D EQ - Women's - 2016,Trek Stache 5 - 2018,Electra Townie Commute Go! - 2018,Trek Super Commuter+ 7 - 2018"
32,Araceli,Golden,6,3006.214166666667,"Electra Cruiser 1 (24-Inch) - 2016,Surly Straggler - 2016,Pure Cycles Vine 8-Speed - 2016,Trek Powerfly 8 FS Plus - 2017,Trek Emonda ALR 6 - 2018,Trek Domane AL 2 Women's - 2018"
33,Deloris,Burke,8,2380.4879499999997,"Trek Fuel EX 8 29 - 2016,Electra Townie Original 21D - 2016,Electra Moto 3i (20-inch) - Boy's - 2017,Trek Domane ALR 4 Disc Women's - 2018,Trek Emonda SLR 6 - 2018,Trek Verve+ - 2018,Electra Townie Commute Go! - 2018,Trek X-Caliber 8 - 2017"
34,Brittney,Woodward,4,2758.939525,"Sun Bicycles Atlas X-Type - 2017,Trek Domane SL 5 Women's - 2018,Trek Conduit+ - 2018,Trek Verve+ - 2018"
35,Guillermina,Noble,8,2757.6341125,"Trek Fuel EX 9.8 27.5 Plus - 2017,Trek Precaliber 24 (21-Speed) - Girls - 2017,Trek Fuel EX 8 29 XT - 2018,Electra Loft Go! 8i - 2018,Strider Strider 20 Sport - 2018,Trek Domane SL 6 - 2017,Electra Treasure 1 20"" - 2018,Electra Townie Original 21D EQ - 2017/2018"
36,Bernita,Mcdaniel,3,2026.6476666666665,"Trek Remedy 29 Carbon Frameset - 2016,Electra Townie Original 21D - 2016,Electra Relic 3i - 2018"
37,Melia,Brady,7,2001.6895000000002,"Heller Shagamaw Frame - 2016,Surly Steamroller - 2017,Trek Powerfly 8 FS Plus - 2017,Surly Straggler - 2018,Electra Townie Commute Go! Ladies' - 2018,Electra Treasure 1 20"" - 2018,Electra Townie Original 1 Ladies' - 2018"
38,Zelma,Browning,6,3589.2777499999993,"Trek Fuel EX 9.8 29 - 2017,Electra Townie Original 7D - 2017,Haro Shredder 20 - 2017,Trek Domane SL Frameset - 2018,Surly Pack Rat - 2018,Trek Lift+ - 2018"
39,Janetta,Aguirre,7,2540.4981999999995,"Surly Karate Monkey 27.5+ Frameset - 2017,Sun Bicycles Streamway - 2017,Trek Girl's Kickster - 2017,Trek Domane SL 8 Disc - 2018,Trek Conduit+ - 2018,Electra Townie Original 3i EQ - 2017/2018,Electra Townie Original 21D Ladies' - 2018"
40,Ronna,Butler,10,1724.0562299999997,"Trek Fuel EX 8 29 - 2016,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra Townie Original 7D EQ - 2016,Ritchey Timberwolf Frameset - 2016,Pure Cycles Western 3-Speed - Women's - 2015/2016,Surly Ice Cream Truck Frameset - 2017,Trek Session DH 27.5 Carbon Frameset - 2017,Surly Karate Monkey 27.5+ Frameset - 2017,Electra Townie Original 3i EQ Ladies' - 2018,Electra Townie Balloon 3i EQ Ladies' - 2018"
41,Kathie,Freeman,5,792.4057399999999,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Trek X-Caliber 8 - 2017,Haro Flightline Two 26 Plus - 2017,Sun Bicycles Atlas X-Type - 2017,Haro Flightline One ST - 2017"
42,Tangela,Quinn,7,1315.0167857142858,"Sun Bicycles Brickell Tandem 7 - 2017,Electra Girl's Hawaii 1 16"" - 2017,Electra Townie Original 7D - 2017,Pure Cycles Western 3-Speed - Women's - 2015/2016,Trek Domane SL Disc Frameset - 2017,Electra Townie 7D (20-inch) - Boys' - 2017,Electra Cruiser 7D Ladies' - 2016/2018"
43,Mozelle,Carter,11,2095.3688181818184,"Trek Fuel EX 8 29 - 2016,Trek Slash 8 27.5 - 2016,Surly Ice Cream Truck Frameset - 2016,Haro Flightline Two 26 Plus - 2017,Sun Bicycles Lil Bolt Type-R - 2017,Electra Girl's Hawaii 1 16"" - 2017,Trek Slash 8 27.5 - 2016,Surly Straggler - 2016,Trek Marlin 6 - 2018,Trek Domane AL 3 Women's - 2018,Electra Cruiser 1 Ladies' - 2018"
44,Onita,Johns,5,454.10784,"Electra Cruiser 1 (24-Inch) - 2016,Electra Townie Original 7D - 2015/2016,Trek Precaliber 12 Girls - 2017,Electra Moto 1 - 2016,Strider Strider 20 Sport - 2018"
45,Bennett,Armstrong,4,836.912,"Surly Troll Frameset - 2017,Haro SR 1.2 - 2017,Sun Bicycles Boardwalk (24-inch Wheels) - 2017,Sun Bicycles Streamway 7 - 2017"
46,Monika,Berg,7,1271.786657142857,"Ritchey Timberwolf Frameset - 2016,Trek Conduit+ - 2016,Electra Townie Original 7D EQ - Women's - 2016,Surly Ice Cream Truck Frameset - 2017,Electra Amsterdam Original 3i - 2015/2017,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra Townie Commute 27D - 2018"
47,Bridgette,Guerra,10,1693.56408,"Electra Moto 3i (20-inch) - Boy's - 2017,Sun Bicycles Streamway 7 - 2017,Surly Troll Frameset - 2017,Trek Boy's Kickster - 2015/2017,Trek Precaliber 16 Boys - 2017,Trek Domane ALR Disc Frameset - 2018,Trek Verve+ - 2018,Electra Townie Go! 8i Ladies' - 2018,Electra Amsterdam Royal 8i Ladies - 2018,Trek Precaliber 16 Girl's - 2018"
48,Cesar,Jackson,6,1950.975333333333,"Trek Fuel EX 5 27.5 Plus - 2017,Sun Bicycles Drifter 7 - Women's - 2017,Heller Bloodhound Trail - 2018,Electra Cyclosaurus 1 (16-inch) - Boy's - 2018,Electra Water Lily 1 (16-inch) - Girl's - 2018,Electra Townie Balloon 3i EQ Ladies' - 2018"
49,Caroll,Hays,2,785.5880000000001,"Surly Wednesday Frameset - 2016,Sun Bicycles Streamway - 2017"
50,Cleotilde,Booth,7,2311.3023857142857,"Surly Wednesday Frameset - 2016,Pure Cycles Western 3-Speed - Women's - 2015/2016,Electra Townie Original 7D EQ - Women's - 2016,Surly Wednesday Frameset - 2016,Electra Townie Original 7D - 2015/2016,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Trek Silque SLR 7 Women's - 2017"
51,Gertrud,Rhodes,4,1750.0145000000002,"Ritchey Timberwolf Frameset - 2016,Surly Straggler - 2016,Surly Troll Frameset - 2018,Trek Precaliber 24 (7-Speed) - Boys - 2018"
52,Tu,Ramirez,6,1077.9425166666667,"Surly Straggler 650b - 2016,Electra Moto 1 - 2016,Sun Bicycles Revolutions 24 - Girl's - 2017,Surly Straggler - 2018,Electra Moto 3i - 2018,Electra Townie Original 7D EQ Ladies' - 2017/2018"
53,Saturnina,Garner,10,1406.82366,"Ritchey Timberwolf Frameset - 2016,Heller Shagamaw Frame - 2016,Trek Conduit+ - 2016,Surly Straggler - 2016,Electra Moto 1 - 2016,Electra Townie 3i EQ (20-inch) - Boys' - 2017,Trek Farley Carbon Frameset - 2018,Trek X-Caliber Frameset - 2018,Electra Townie Original 21D EQ Ladies' - 2018,Electra Cruiser Lux 3i Ladies' - 2018"
54,Fran,Yang,6,2870.9073166666662,"Surly Ice Cream Truck Frameset - 2016,Trek Slash 8 27.5 - 2016,Electra Townie Original 7D EQ - 2016,Pure Cycles Western 3-Speed - Women's - 2015/2016,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Trek Domane SLR 9 Disc - 2018"
55,Diana,Guerra,5,836.72414,"Electra Townie Original 7D EQ - 2016,Haro Flightline One ST - 2017,Sun Bicycles Atlas X-Type - 2017,Electra Amsterdam Fashion 3i Ladies' - 2017/2018,Trek Precaliber 20 Girl's - 2018"
56,Lolita,Mosley,5,1336.0887799999998,"Electra Townie Original 7D - 2017,Haro Downtown 16 - 2017,Electra Under-The-Sea 1 16"" - 2018,Trek Domane S 5 Disc - 2017,Trek Madone 9 Frameset - 2018"
57,Pamala,Henry,6,1163.6566833333334,"Heller Shagamaw Frame - 2016,Trek Remedy 29 Carbon Frameset - 2016,Pure Cycles William 3-Speed - 2016,Electra Townie Original 7D EQ - 2016,Haro Shift R3 - 2017,Trek X-Caliber 8 - 2018"
58,Damien,Dorsey,10,2151.4461499999998,"Trek Stache 5 - 2017,Haro SR 1.2 - 2017,Trek Emonda S 4 - 2017,Trek Domane S 6 - 2017,Sun Bicycles Streamway 3 - 2017,Haro Flightline One ST - 2017,Sun Bicycles Boardwalk (24-inch Wheels) - 2017,Surly Troll Frameset - 2018,Trek Domane SL 6 Disc - 2018,Electra Under-The-Sea 1 16"" - 2018"
59,Latasha,Stanley,8,1731.8252000000002,"Trek Slash 8 27.5 - 2016,Electra Townie Original 7D EQ - 2016,Electra Cruiser 1 (24-Inch) - 2016,Electra Townie Original 7D EQ - 2016,Trek Domane SLR 6 Disc - 2017,Trek Domane ALR 4 Disc Women's - 2018,Electra Townie Balloon 8D EQ - 2016/2017/2018,Electra Townie Original 21D EQ Ladies' - 2018"
60,Neil,Mccall,6,1653.2215666666668,"Trek Slash 8 27.5 - 2016,Haro Flightline One ST - 2017,Haro Shredder 20 - 2017,Electra Girl's Hawaii 1 16"" - 2017,Electra Townie Original 21D EQ - 2017/2018,Electra Townie Balloon 7i EQ - 2018"
61,Elinore,Aguilar,10,2563.64531,"Heller Shagamaw Frame - 2016,Trek Remedy 29 Carbon Frameset - 2016,Electra Townie Original 21D - 2016,Trek Fuel EX 8 29 - 2016,Electra Townie Original 7D EQ - 2016,Surly Big Dummy Frameset - 2017,Trek Fuel EX 9.8 29 - 2017,Trek CrossRip 1 - 2018,Trek Powerfly 5 Women's - 2018,Electra Townie Commute 27D Ladies - 2018"
62,Alica,Hunter,5,824.4290799999999,"Pure Cycles Western 3-Speed - Women's - 2015/2016,Electra Townie Original 7D - 2015/2016,Electra Townie Original 7D EQ - 2016,Surly Ogre Frameset - 2017,Trek Stache Carbon Frameset - 2018"
63,Tenisha,Lyons,10,2008.6370799999993,"Surly Big Dummy Frameset - 2017,Haro Shift R3 - 2017,Sun Bicycles Streamway - 2017,Trek Domane ALR 5 Gravel - 2018,Electra Townie Balloon 7i EQ Ladies' - 2017/2018,Trek Fuel EX 8 29 - 2016,Haro SR 1.3 - 2017,Trek Domane S 6 - 2017,Trek Farley Carbon Frameset - 2018,Electra Townie Go! 8i Ladies' - 2018"
64,Bobbie,Foster,10,877.8131099999998,"Surly Wednesday Frameset - 2016,Trek Slash 8 27.5 - 2016,Electra Cruiser 1 (24-Inch) - 2016,Electra Moto 1 - 2016,Electra Townie Original 7D EQ - 2016,Heller Shagamaw Frame - 2016,Electra Cruiser 1 (24-Inch) - 2016,Haro Flightline Two 26 Plus - 2017,Sun Bicycles Revolutions 24 - 2017,Electra Cruiser Lux 1 Ladies' - 2018"
65,Kanesha,Vega,6,1858.6007499999998,"Heller Shagamaw Frame - 2016,Trek Remedy 29 Carbon Frameset - 2016,Trek Conduit+ - 2016,Pure Cycles Western 3-Speed - Women's - 2015/2016,Trek Domane SL 5 - 2018,Electra Under-The-Sea 1 16"" - 2018"
66,Lorrie,Becker,9,2558.476922222222,"Trek Fuel EX 8 29 - 2016,Surly Straggler 650b - 2016,Pure Cycles William 3-Speed - 2016,Trek Fuel EX 9.8 27.5 Plus - 2017,Sun Bicycles Cruz 3 - 2017,Trek CrossRip+ - 2018,Trek XM700+ Lowstep - 2018,Strider Classic 12 Balance Bike - 2018,Electra Townie Commute 27D Ladies - 2018"
67,Tommie,Melton,3,490.8241666666666,"Surly Ice Cream Truck Frameset - 2016,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Haro SR 1.2 - 2017"
68,Jayne,Kirkland,7,1543.2327714285714,"Surly Troll Frameset - 2017,Electra Savannah 3i (20-inch) - Girl's - 2017,Surly Karate Monkey 27.5+ Frameset - 2017,Trek Remedy 7 27.5 - 2018,Trek Crockett 7 Disc - 2018,Electra Amsterdam Fashion 3i Ladies' - 2017/2018,Electra Straight 8 3i - 2018"
69,Katelin,Kennedy,4,1892.2327500000001,"Trek Domane SL Disc Frameset - 2017,Trek Domane AL 2 - 2018,Electra Cruiser Lux 1 Ladies' - 2018,Strider Sport 16 - 2018"
70,Tomasa,Carson,4,4084.7346,"Trek Powerfly 8 FS Plus - 2017,Trek Precaliber 16 Boys - 2017,Haro Shredder Pro 20 - 2017,Trek Boone 7 Disc - 2018"
71,Takako,Casey,2,927.66625,"Surly Wednesday - 2017,Trek 820 - 2018"
72,Petronila,Norris,5,2782.8669,"Surly Wednesday Frameset - 2016,Electra Moto 1 - 2016,Pure Cycles Vine 8-Speed - 2016,Trek Powerfly 8 FS Plus - 2017,Trek Domane AL 3 - 2018"
73,Melanie,Hayes,7,4559.098599999999,"Surly Karate Monkey 27.5+ Frameset - 2017,Trek Silque SLR 8 Women's - 2017,Trek Madone 9.2 - 2017,Sun Bicycles Revolutions 24 - 2017,Sun Bicycles Cruz 3 - Women's - 2017,Haro Shift R3 - 2017,Trek Verve+ Lowstep - 2018"
74,Georgeann,Waller,2,2018.4859999999999,"Trek Slash 8 27.5 - 2016,Trek Precaliber 20 Girl's - 2018"
75,Abby,Gamble,7,4686.143742857143,"Trek Boone 7 - 2017,Electra Amsterdam Original 3i Ladies' - 2017,Haro Shredder 20 - 2017,Sun Bicycles Drifter 7 - Women's - 2017,Trek Domane SLR 8 Disc - 2018,Trek Domane SL 7 Women's - 2018,Trek Domane SL 6 Disc - 2018"
76,Parker,Prince,8,896.0597250000001,"Surly Ice Cream Truck Frameset - 2016,Electra Townie Original 7D EQ - 2016,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Haro Shredder 20 Girls - 2017,Electra Savannah 3i (20-inch) - Girl's - 2017,Sun Bicycles Cruz 3 - Women's - 2017,Trek Procaliber 6 - 2018,Trek CrossRip 1 - 2018"
77,Keri,Bridges,6,1420.4923666666666,"Heller Shagamaw Frame - 2016,Electra Townie Original 7D EQ - Women's - 2016,Trek Conduit+ - 2016,Pure Cycles Western 3-Speed - Women's - 2015/2016,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Trek XM700+ Lowstep - 2018"
78,Chi,Goff,4,860.315775,"Electra Townie 7D (20-inch) - Boys' - 2017,Electra Girl's Hawaii 1 16"" - 2017,Trek Ticket S Frame - 2018,Trek Stache 5 - 2018"
79,Ashanti,Parks,9,1780.5634999999997,"Surly Straggler 650b - 2016,Electra Townie Original 7D EQ - 2016,Electra Townie 3i EQ (20-inch) - Boys' - 2017,Sun Bicycles Cruz 3 - 2017,Haro SR 1.3 - 2017,Trek Ticket S Frame - 2018,Trek Verve+ Lowstep - 2018,Trek Boone 5 Disc - 2018,Electra Townie Balloon 7i EQ Ladies' - 2017/2018"
80,Sarai,Mckee,6,1593.889683333333,"Trek Remedy 29 Carbon Frameset - 2016,Surly Straggler - 2016,Pure Cycles Vine 8-Speed - 2016,Electra Townie Original 7D EQ - Women's - 2016,Electra Townie Original 21D - 2018,Electra Townie Commute 8D Ladies' - 2018"
81,Zina,Bonner,4,1415.234225,"Electra Moto 1 - 2016,Trek Boy's Kickster - 2015/2017,Trek Domane ALR Disc Frameset - 2018,Electra Townie Balloon 3i EQ Ladies' - 2018"
82,Lizzie,Joyner,7,2713.5733857142864,"Trek Remedy 9.8 - 2017,Sun Bicycles Lil Bolt Type-R - 2017,Sun Bicycles Streamway 7 - 2017,Sun Bicycles ElectroLite - 2017,Electra Girl's Hawaii 1 16"" - 2017,Trek Remedy 7 27.5 - 2018,Electra Townie Original 1 - 2018"
83,Tiesha,Daniel,8,974.1438375,"Trek Fuel EX 8 29 - 2016,Electra Townie Original 21D - 2016,Electra Cruiser 1 (24-Inch) - 2016,Pure Cycles William 3-Speed - 2016,Electra Townie Original 7D EQ - 2016,Electra Cruiser Lux 3i Ladies' - 2018,Electra Townie Balloon 7i EQ Ladies' - 2017/2018,Trek Kickster - 2018"
84,Armand,Whitehead,6,1192.4240833333333,"Trek Conduit+ - 2016,Pure Cycles Western 3-Speed - Women's - 2015/2016,Sun Bicycles ElectroLite - 2017,Electra Straight 8 3i (20-inch) - Boy's - 2017,Trek Marlin 5 - 2018,Trek Precaliber 12 Boy's - 2018"
85,Teofila,Fischer,10,2319.50754,"Trek Slash 8 27.5 - 2016,Surly Straggler 650b - 2016,Trek Farley Alloy Frameset - 2017,Trek Powerfly 8 FS Plus - 2017,Electra Amsterdam Fashion 7i Ladies' - 2017,Surly Straggler 650b - 2016,Trek Stache 5 - 2017,Electra Amsterdam Royal 8i Ladies - 2018,Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018,Electra Tiger Shark 1 (20-inch) - Boys' - 2018"
