order_id,customer_name,product_name,quantity,store_name
13,Patience Clayton,Pure Cycles Vine 8-Speed - 2016,2,Baldwin Bikes
13,Patience Clayton,Electra Townie Original 7D EQ - Women's - 2016,2,Baldwin Bikes
14,Maribel William,Surly Ice Cream Truck Frameset - 2016,1,Santa Cruz Bikes
15,Ellsworth Michael,Trek Remedy 29 Carbon Frameset - 2016,1,Baldwin Bikes
15,Ellsworth Michael,Electra Townie Original 21D - 2016,2,Baldwin Bikes
15,Ellsworth Michael,Pure Cycles Western 3-Speed - Women's - 2015/2016,2,Baldwin Bikes
15,Ellsworth Michael,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Baldwin Bikes
16,Lea Key,Trek Remedy 29 Carbon Frameset - 2016,1,Santa Cruz Bikes
16,Lea Key,Electra Cruiser 1 (24-Inch) - 2016,2,Santa Cruz Bikes
16,Lea Key,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Santa Cruz Bikes
16,Lea Key,Electra Cruiser 1 (24-Inch) - 2016,1,Santa Cruz Bikes
17,Sindy Anderson,Heller Shagamaw Frame - 2016,1,Santa Cruz Bikes
17,Sindy Anderson,Trek Remedy 29 Carbon Frameset - 2016,1,Santa Cruz Bikes
17,Sindy Anderson,Electra Townie Original 7D EQ - Women's - 2016,2,Santa Cruz Bikes
17,Sindy Anderson,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,Santa Cruz Bikes
18,Lanita Burton,Ritchey Timberwolf Frameset - 2016,2,Santa Cruz Bikes
18,Lanita Burton,Trek Slash 8 27.5 - 2016,1,Santa Cruz Bikes
18,Lanita Burton,Trek Conduit+ - 2016,2,Santa Cruz Bikes
18,Lanita Burton,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Santa Cruz Bikes
18,Lanita Burton,Electra Townie Original 7D - 2015/2016,2,Santa Cruz Bikes
19,Norine Huffman,Trek Conduit+ - 2016,2,Santa Cruz Bikes
19,Norine Huffman,Surly Straggler - 2016,1,Santa Cruz Bikes
20,Randee Pitts,Trek Conduit+ - 2016,1,Santa Cruz Bikes
20,Randee Pitts,Surly Straggler - 2016,2,Santa Cruz Bikes
21,Neoma Daugherty,Surly Straggler - 2016,1,Baldwin Bikes
21,Neoma Daugherty,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Baldwin Bikes
21,Neoma Daugherty,Pure Cycles Vine 8-Speed - 2016,1,Baldwin Bikes
22,Tangela Hurley,Electra Moto 1 - 2016,2,Santa Cruz Bikes
22,Tangela Hurley,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Santa Cruz Bikes
23,Drucilla Gilliam,Trek Fuel EX 8 29 - 2016,2,Santa Cruz Bikes
23,Drucilla Gilliam,Electra Cruiser 1 (24-Inch) - 2016,1,Santa Cruz Bikes
23,Drucilla Gilliam,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Santa Cruz Bikes
24,Ashton Lott,Surly Wednesday Frameset - 2016,2,Baldwin Bikes
24,Ashton Lott,Pure Cycles Western 3-Speed - Women's - 2015/2016,2,Baldwin Bikes
25,Sam Lester,Surly Straggler - 2016,2,Baldwin Bikes
25,Sam Lester,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Baldwin Bikes
25,Sam Lester,Electra Cruiser 1 (24-Inch) - 2016,1,Baldwin Bikes
25,Sam Lester,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Baldwin Bikes
25,Sam Lester,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Baldwin Bikes
26,Jackeline Colon,Ritchey Timberwolf Frameset - 2016,1,Baldwin Bikes
26,Jackeline Colon,Trek Slash 8 27.5 - 2016,1,Baldwin Bikes
26,Jackeline Colon,Electra Townie Original 21D - 2016,1,Baldwin Bikes
26,Jackeline Colon,Electra Cruiser 1 (24-Inch) - 2016,2,Baldwin Bikes
27,Pamala Henry,Heller Shagamaw Frame - 2016,1,Baldwin Bikes
27,Pamala Henry,Trek Remedy 29 Carbon Frameset - 2016,1,Baldwin Bikes
27,Pamala Henry,Pure Cycles William 3-Speed - 2016,1,Baldwin Bikes
27,Pamala Henry,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
28,Eleni Gordon,Heller Shagamaw Frame - 2016,1,Baldwin Bikes
28,Eleni Gordon,Surly Ice Cream Truck Frameset - 2016,1,Baldwin Bikes
28,Eleni Gordon,Trek Slash 8 27.5 - 2016,2,Baldwin Bikes
28,Eleni Gordon,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Baldwin Bikes
29,Laureen Barry,Surly Ice Cream Truck Frameset - 2016,1,Baldwin Bikes
29,Laureen Barry,Trek Remedy 29 Carbon Frameset - 2016,1,Baldwin Bikes
29,Laureen Barry,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Baldwin Bikes
29,Laureen Barry,Electra Cruiser 1 (24-Inch) - 2016,2,Baldwin Bikes
29,Laureen Barry,Electra Townie Original 21D - 2016,2,Baldwin Bikes
30,Yvone Guerrero,Trek Fuel EX 8 29 - 2016,1,Baldwin Bikes
30,Yvone Guerrero,Trek Slash 8 27.5 - 2016,2,Baldwin Bikes
30,Yvone Guerrero,Pure Cycles Vine 8-Speed - 2016,1,Baldwin Bikes
30,Yvone Guerrero,Pure Cycles William 3-Speed - 2016,1,Baldwin Bikes
30,Yvone Guerrero,Electra Townie Original 7D EQ - 2016,1,Baldwin Bikes
31,Edgar Quinn,Trek Conduit+ - 2016,2,Rowlett Bikes
31,Edgar Quinn,Surly Straggler 650b - 2016,2,Rowlett Bikes
32,Kimbery Nieves,Trek Remedy 29 Carbon Frameset - 2016,2,Santa Cruz Bikes
32,Kimbery Nieves,Electra Townie Original 21D - 2016,2,Santa Cruz Bikes
32,Kimbery Nieves,Electra Townie Original 7D - 2015/2016,2,Santa Cruz Bikes
33,Verona O'neill,Trek Slash 8 27.5 - 2016,1,Baldwin Bikes
33,Verona O'neill,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Baldwin Bikes
34,Sarai Mckee,Trek Remedy 29 Carbon Frameset - 2016,2,Baldwin Bikes
34,Sarai Mckee,Surly Straggler - 2016,2,Baldwin Bikes
34,Sarai Mckee,Pure Cycles Vine 8-Speed - 2016,2,Baldwin Bikes
35,Neville Mcclain,Heller Shagamaw Frame - 2016,1,Baldwin Bikes
35,Neville Mcclain,Pure Cycles Western 3-Speed - Women's - 2015/2016,1,Baldwin Bikes
35,Neville Mcclain,Electra Townie Original 7D EQ - Women's - 2016,2,Baldwin Bikes
35,Neville Mcclain,Electra Cruiser 1 (24-Inch) - 2016,2,Baldwin Bikes
35,Neville Mcclain,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Baldwin Bikes
36,Shantel Gregory,Surly Wednesday Frameset - 2016,2,Baldwin Bikes
36,Shantel Gregory,Heller Shagamaw Frame - 2016,1,Baldwin Bikes
36,Shantel Gregory,Trek Conduit+ - 2016,1,Baldwin Bikes
37,Tomika Larson,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
38,Lashandra Turner,Trek Slash 8 27.5 - 2016,2,Baldwin Bikes
38,Lashandra Turner,Surly Straggler - 2016,2,Baldwin Bikes
38,Lashandra Turner,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,Baldwin Bikes
38,Lashandra Turner,Electra Townie Original 21D - 2016,1,Baldwin Bikes
38,Lashandra Turner,Electra Townie Original 7D - 2015/2016,1,Baldwin Bikes
39,Travis Whitley,Surly Wednesday Frameset - 2016,2,Baldwin Bikes
39,Travis Whitley,Electra Moto 1 - 2016,1,Baldwin Bikes
39,Travis Whitley,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
39,Travis Whitley,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Baldwin Bikes
40,Darren Witt,Trek Remedy 29 Carbon Frameset - 2016,2,Santa Cruz Bikes
40,Darren Witt,Pure Cycles Vine 8-Speed - 2016,1,Santa Cruz Bikes
41,Ingeborg Ellison,Heller Shagamaw Frame - 2016,1,Baldwin Bikes
41,Ingeborg Ellison,Pure Cycles William 3-Speed - 2016,2,Baldwin Bikes
41,Ingeborg Ellison,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
42,Corene Swanson,Pure Cycles William 3-Speed - 2016,1,Baldwin Bikes
43,Elana Miles,Electra Townie Original 21D - 2016,2,Baldwin Bikes
43,Elana Miles,Electra Cruiser 1 (24-Inch) - 2016,2,Baldwin Bikes
44,Olympia Figueroa,Trek Slash 8 27.5 - 2016,1,Baldwin Bikes
44,Olympia Figueroa,Electra Townie Original 7D EQ - 2016,1,Baldwin Bikes
45,Carissa Cross,Trek Fuel EX 8 29 - 2016,2,Baldwin Bikes
45,Carissa Cross,Electra Cruiser 1 (24-Inch) - 2016,2,Baldwin Bikes
45,Carissa Cross,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Baldwin Bikes
46,Eldridge Greer,Pure Cycles Vine 8-Speed - 2016,1,Baldwin Bikes
47,Joshua Berg,Surly Ice Cream Truck Frameset - 2016,1,Baldwin Bikes
47,Joshua Berg,Electra Cruiser 1 (24-Inch) - 2016,1,Baldwin Bikes
47,Joshua Berg,Electra Moto 1 - 2016,1,Baldwin Bikes
47,Joshua Berg,Electra Townie Original 7D - 2015/2016,2,Baldwin Bikes
48,Josephine Dale,Trek Fuel EX 8 29 - 2016,1,Baldwin Bikes
48,Josephine Dale,Heller Shagamaw Frame - 2016,2,Baldwin Bikes
48,Josephine Dale,Surly Straggler 650b - 2016,1,Baldwin Bikes
48,Josephine Dale,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Baldwin Bikes
49,Taisha Vang,Electra Cruiser 1 (24-Inch) - 2016,2,Baldwin Bikes
50,Silas Tate,Surly Wednesday Frameset - 2016,1,Rowlett Bikes
50,Silas Tate,Electra Cruiser 1 (24-Inch) - 2016,2,Rowlett Bikes
50,Silas Tate,Electra Townie Original 7D EQ - 2016,2,Rowlett Bikes
51,Jamaal Baker,Electra Cruiser 1 (24-Inch) - 2016,1,Baldwin Bikes
51,Jamaal Baker,Electra Townie Original 7D EQ - Women's - 2016,1,Baldwin Bikes
51,Jamaal Baker,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
52,Twana Arnold,Electra Townie Original 7D - 2015/2016,1,Santa Cruz Bikes
53,Margit Osborn,Trek Remedy 29 Carbon Frameset - 2016,2,Baldwin Bikes
53,Margit Osborn,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Baldwin Bikes
53,Margit Osborn,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Baldwin Bikes
53,Margit Osborn,Electra Townie Original 7D - 2015/2016,2,Baldwin Bikes
54,Inge Olsen,Surly Wednesday Frameset - 2016,1,Baldwin Bikes
54,Inge Olsen,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
55,Chanel May,Electra Moto 1 - 2016,2,Baldwin Bikes
55,Chanel May,Electra Cruiser 1 (24-Inch) - 2016,1,Baldwin Bikes
55,Chanel May,Electra Townie Original 7D - 2015/2016,2,Baldwin Bikes
56,Nathaniel Davidson,Electra Townie Original 7D EQ - Women's - 2016,2,Baldwin Bikes
57,Dalia Carson,Electra Cruiser 1 (24-Inch) - 2016,1,Baldwin Bikes
57,Dalia Carson,Pure Cycles William 3-Speed - 2016,2,Baldwin Bikes
57,Dalia Carson,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Baldwin Bikes
58,Tiana Henderson,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Baldwin Bikes
58,Tiana Henderson,Pure Cycles Western 3-Speed - Women's - 2015/2016,1,Baldwin Bikes
58,Tiana Henderson,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,Baldwin Bikes
59,Rodney Odom,Ritchey Timberwolf Frameset - 2016,1,Baldwin Bikes
59,Rodney Odom,Pure Cycles Vine 8-Speed - 2016,2,Baldwin Bikes
59,Rodney Odom,Electra Cruiser 1 (24-Inch) - 2016,1,Baldwin Bikes
60,Joesph Delacruz,Trek Fuel EX 8 29 - 2016,1,Santa Cruz Bikes
60,Joesph Delacruz,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Santa Cruz Bikes
60,Joesph Delacruz,Electra Moto 1 - 2016,1,Santa Cruz Bikes
60,Joesph Delacruz,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Santa Cruz Bikes
61,Mark Garrett,Heller Shagamaw Frame - 2016,2,Baldwin Bikes
61,Mark Garrett,Electra Moto 1 - 2016,2,Baldwin Bikes
61,Mark Garrett,Electra Townie Original 7D - 2015/2016,1,Baldwin Bikes
62,Denis Logan,Trek Remedy 29 Carbon Frameset - 2016,2,Santa Cruz Bikes
62,Denis Logan,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Santa Cruz Bikes
62,Denis Logan,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Santa Cruz Bikes
63,Dann Huff,Surly Wednesday Frameset - 2016,1,Baldwin Bikes
63,Dann Huff,Pure Cycles William 3-Speed - 2016,2,Baldwin Bikes
63,Dann Huff,Electra Townie Original 7D - 2015/2016,2,Baldwin Bikes
64,Corine Stuart,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Baldwin Bikes
64,Corine Stuart,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Baldwin Bikes
64,Corine Stuart,Electra Townie Original 21D - 2016,2,Baldwin Bikes
64,Corine Stuart,Electra Townie Original 7D - 2015/2016,2,Baldwin Bikes
65,Serafina Clemons,Electra Townie Original 21D - 2016,1,Baldwin Bikes
66,Susannah Fields,Ritchey Timberwolf Frameset - 2016,1,Baldwin Bikes
66,Susannah Fields,Electra Townie Original 21D - 2016,1,Baldwin Bikes
66,Susannah Fields,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,Baldwin Bikes
67,Lazaro Moran,Heller Shagamaw Frame - 2016,2,Rowlett Bikes
67,Lazaro Moran,Electra Townie Original 21D - 2016,2,Rowlett Bikes
67,Lazaro Moran,Pure Cycles William 3-Speed - 2016,1,Rowlett Bikes
67,Lazaro Moran,Electra Cruiser 1 (24-Inch) - 2016,1,Rowlett Bikes
67,Lazaro Moran,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Rowlett Bikes
68,Kristen Alvarez,Electra Cruiser 1 (24-Inch) - 2016,2,Baldwin Bikes
68,Kristen Alvarez,Pure Cycles Vine 8-Speed - 2016,1,Baldwin Bikes
69,Ophelia Decker,Heller Shagamaw Frame - 2016,1,Baldwin Bikes
69,Ophelia Decker,Surly Straggler - 2016,1,Baldwin Bikes
69,Ophelia Decker,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Baldwin Bikes
70,Cleotilde Booth,Surly Wednesday Frameset - 2016,2,Rowlett Bikes
70,Cleotilde Booth,Pure Cycles Western 3-Speed - Women's - 2015/2016,1,Rowlett Bikes
70,Cleotilde Booth,Electra Townie Original 7D EQ - Women's - 2016,1,Rowlett Bikes
71,Cathey Lamb,Pure Cycles Western 3-Speed - Women's - 2015/2016,1,Baldwin Bikes
71,Cathey Lamb,Electra Townie Original 21D - 2016,1,Baldwin Bikes
71,Cathey Lamb,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
72,Cesar Wilkins,Electra Townie Original 21D - 2016,1,Santa Cruz Bikes
72,Cesar Wilkins,Electra Cruiser 1 (24-Inch) - 2016,2,Santa Cruz Bikes
72,Cesar Wilkins,Pure Cycles Vine 8-Speed - 2016,2,Santa Cruz Bikes
73,Gabriel Wagner,Surly Wednesday Frameset - 2016,2,Baldwin Bikes
73,Gabriel Wagner,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Baldwin Bikes
73,Gabriel Wagner,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Baldwin Bikes
73,Gabriel Wagner,Electra Townie Original 7D - 2015/2016,1,Baldwin Bikes
73,Gabriel Wagner,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
74,Mariela Huffman,Surly Ice Cream Truck Frameset - 2016,1,Baldwin Bikes
74,Mariela Huffman,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
75,Euna Lopez,Surly Wednesday Frameset - 2016,1,Baldwin Bikes
75,Euna Lopez,Trek Slash 8 27.5 - 2016,2,Baldwin Bikes
75,Euna Lopez,Electra Moto 1 - 2016,1,Baldwin Bikes
76,Genoveva Baldwin,Heller Shagamaw Frame - 2016,1,Baldwin Bikes
76,Genoveva Baldwin,Surly Straggler 650b - 2016,2,Baldwin Bikes
76,Genoveva Baldwin,Electra Townie Original 21D - 2016,1,Baldwin Bikes
77,Rochelle Ward,Electra Townie Original 7D EQ - Women's - 2016,1,Santa Cruz Bikes
77,Rochelle Ward,Electra Townie Original 21D - 2016,2,Santa Cruz Bikes
77,Rochelle Ward,Electra Townie Original 7D - 2015/2016,1,Santa Cruz Bikes
77,Rochelle Ward,Electra Townie Original 7D EQ - 2016,1,Santa Cruz Bikes
78,Trinidad Chapman,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Baldwin Bikes
78,Trinidad Chapman,Pure Cycles Vine 8-Speed - 2016,1,Baldwin Bikes
78,Trinidad Chapman,Pure Cycles Western 3-Speed - Women's - 2015/2016,2,Baldwin Bikes
78,Trinidad Chapman,Pure Cycles William 3-Speed - 2016,1,Baldwin Bikes
79,Ellena Clements,Surly Ice Cream Truck Frameset - 2016,1,Santa Cruz Bikes
79,Ellena Clements,Trek Conduit+ - 2016,2,Santa Cruz Bikes
79,Ellena Clements,Pure Cycles Vine 8-Speed - 2016,2,Santa Cruz Bikes
79,Ellena Clements,Electra Townie Original 7D - 2015/2016,2,Santa Cruz Bikes
80,Jeannie Wilcox,Pure Cycles Vine 8-Speed - 2016,1,Baldwin Bikes
80,Jeannie Wilcox,Electra Townie Original 21D - 2016,1,Baldwin Bikes
80,Jeannie Wilcox,Electra Townie Original 7D EQ - 2016,1,Baldwin Bikes
81,Max Charles,Surly Straggler - 2016,2,Baldwin Bikes
81,Max Charles,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Baldwin Bikes
81,Max Charles,Electra Townie Original 7D - 2015/2016,2,Baldwin Bikes
82,Bronwyn Vargas,Surly Straggler 650b - 2016,2,Baldwin Bikes
82,Bronwyn Vargas,Electra Townie Original 7D - 2015/2016,2,Baldwin Bikes
83,Gertrude Terry,Surly Wednesday Frameset - 2016,2,Santa Cruz Bikes
83,Gertrude Terry,Electra Townie Original 7D EQ - Women's - 2016,1,Santa Cruz Bikes
84,Christia Wilkins,Electra Moto 1 - 2016,2,Baldwin Bikes
84,Christia Wilkins,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Baldwin Bikes
85,Aaron Knapp,Trek Fuel EX 8 29 - 2016,2,Baldwin Bikes
85,Aaron Knapp,Pure Cycles Western 3-Speed - Women's - 2015/2016,1,Baldwin Bikes
86,Lavette Wright,Trek Conduit+ - 2016,2,Baldwin Bikes
86,Lavette Wright,Electra Moto 1 - 2016,1,Baldwin Bikes
86,Lavette Wright,Electra Cruiser 1 (24-Inch) - 2016,2,Baldwin Bikes
86,Lavette Wright,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Baldwin Bikes
87,Rosa Kinney,Electra Townie Original 7D EQ - Women's - 2016,2,Baldwin Bikes
87,Rosa Kinney,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Baldwin Bikes
88,Rodolfo Buck,Trek Slash 8 27.5 - 2016,1,Baldwin Bikes
88,Rodolfo Buck,Trek Remedy 29 Carbon Frameset - 2016,2,Baldwin Bikes
88,Rodolfo Buck,Surly Straggler - 2016,1,Baldwin Bikes
89,Calandra Stanton,Heller Shagamaw Frame - 2016,1,Rowlett Bikes
89,Calandra Stanton,Surly Ice Cream Truck Frameset - 2016,2,Rowlett Bikes
90,Romaine Haley,Surly Wednesday Frameset - 2016,1,Baldwin Bikes
90,Romaine Haley,Surly Ice Cream Truck Frameset - 2016,1,Baldwin Bikes
91,Catrice Hicks,Surly Straggler 650b - 2016,1,Santa Cruz Bikes
91,Catrice Hicks,Electra Cruiser 1 (24-Inch) - 2016,2,Santa Cruz Bikes
91,Catrice Hicks,Electra Moto 1 - 2016,2,Santa Cruz Bikes
91,Catrice Hicks,Electra Townie Original 7D - 2015/2016,1,Santa Cruz Bikes
92,Kimberli Cline,Trek Remedy 29 Carbon Frameset - 2016,1,Baldwin Bikes
93,Cindie Franklin,Ritchey Timberwolf Frameset - 2016,1,Santa Cruz Bikes
93,Cindie Franklin,Surly Straggler - 2016,2,Santa Cruz Bikes
93,Cindie Franklin,Pure Cycles Vine 8-Speed - 2016,1,Santa Cruz Bikes
93,Cindie Franklin,Electra Cruiser 1 (24-Inch) - 2016,1,Santa Cruz Bikes
93,Cindie Franklin,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Santa Cruz Bikes
94,Thurman Ellis,Trek Fuel EX 8 29 - 2016,1,Santa Cruz Bikes
94,Thurman Ellis,Surly Straggler 650b - 2016,1,Santa Cruz Bikes
94,Thurman Ellis,Electra Townie Original 21D - 2016,1,Santa Cruz Bikes
94,Thurman Ellis,Electra Cruiser 1 (24-Inch) - 2016,2,Santa Cruz Bikes
95,Casey Gill,Trek Remedy 29 Carbon Frameset - 2016,2,Baldwin Bikes
95,Casey Gill,Surly Straggler - 2016,2,Baldwin Bikes
95,Casey Gill,Pure Cycles William 3-Speed - 2016,1,Baldwin Bikes
95,Casey Gill,Electra Townie Original 7D EQ - Women's - 2016,2,Baldwin Bikes
96,Keitha Black,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,Baldwin Bikes
96,Keitha Black,Electra Townie Original 7D EQ - 2016,1,Baldwin Bikes
97,Alpha King,Ritchey Timberwolf Frameset - 2016,1,Baldwin Bikes
97,Alpha King,Surly Ice Cream Truck Frameset - 2016,2,Baldwin Bikes
97,Alpha King,Pure Cycles William 3-Speed - 2016,1,Baldwin Bikes
97,Alpha King,Electra Townie Original 7D EQ - Women's - 2016,2,Baldwin Bikes
98,Leticia Snyder,Ritchey Timberwolf Frameset - 2016,1,Baldwin Bikes
98,Leticia Snyder,Pure Cycles William 3-Speed - 2016,1,Baldwin Bikes
98,Leticia Snyder,Electra Cruiser 1 (24-Inch) - 2016,1,Baldwin Bikes
98,Leticia Snyder,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Baldwin Bikes
99,Rikki Morrow,Trek Slash 8 27.5 - 2016,2,Rowlett Bikes
99,Rikki Morrow,Electra Cruiser 1 (24-Inch) - 2016,1,Rowlett Bikes
99,Rikki Morrow,Electra Cruiser 1 (24-Inch) - 2016,1,Rowlett Bikes
99,Rikki Morrow,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Rowlett Bikes
99,Rikki Morrow,Electra Townie Original 7D - 2015/2016,2,Rowlett Bikes
100,Luke Kramer,Trek Slash 8 27.5 - 2016,2,Baldwin Bikes
100,Luke Kramer,Surly Straggler 650b - 2016,2,Baldwin Bikes
100,Luke Kramer,Electra Townie Original 21D - 2016,2,Baldwin Bikes
100,Luke Kramer,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
100,Luke Kramer,Electra Townie Original 21D - 2016,2,Baldwin Bikes
101,Katheleen Marks,Electra Townie Original 21D - 2016,2,Rowlett Bikes
102,Trisha Johnson,Electra Moto 1 - 2016,1,Baldwin Bikes
102,Trisha Johnson,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Baldwin Bikes
103,Brigida Larson,Surly Wednesday Frameset - 2016,1,Santa Cruz Bikes
103,Brigida Larson,Trek Conduit+ - 2016,2,Santa Cruz Bikes
103,Brigida Larson,Electra Moto 1 - 2016,2,Santa Cruz Bikes
103,Brigida Larson,Pure Cycles Vine 8-Speed - 2016,1,Santa Cruz Bikes
103,Brigida Larson,Pure Cycles Western 3-Speed - Women's - 2015/2016,1,Santa Cruz Bikes
104,Latasha Hays,Pure Cycles William 3-Speed - 2016,2,Baldwin Bikes
104,Latasha Hays,Electra Townie Original 7D EQ - 2016,1,Baldwin Bikes
105,Vikki Erickson,Surly Wednesday Frameset - 2016,1,Baldwin Bikes
105,Vikki Erickson,Trek Conduit+ - 2016,1,Baldwin Bikes
105,Vikki Erickson,Surly Straggler 650b - 2016,2,Baldwin Bikes
106,Valery Saunders,Electra Cruiser 1 (24-Inch) - 2016,2,Rowlett Bikes
106,Valery Saunders,Pure Cycles Vine 8-Speed - 2016,1,Rowlett Bikes
107,Kiara Deleon,Electra Cruiser 1 (24-Inch) - 2016,2,Santa Cruz Bikes
107,Kiara Deleon,Pure Cycles William 3-Speed - 2016,1,Santa Cruz Bikes
108,Robby Sykes,Surly Straggler 650b - 2016,1,Baldwin Bikes
108,Robby Sykes,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
