customer_name,product_name,quantity,store_name
Edgar Quinn,Trek Conduit+ - 2016,2,Rowlett Bikes
Edgar Quinn,Surly Straggler 650b - 2016,2,Rowlett Bikes
Kimbery Nieves,Trek Remedy 29 Carbon Frameset - 2016,2,Santa Cruz Bikes
Kimbery Nieves,Electra Townie Original 21D - 2016,2,Santa Cruz Bikes
Kimbery Nieves,Electra Townie Original 7D - 2015/2016,2,Santa Cruz Bikes
Verona O'neill,Trek Slash 8 27.5 - 2016,1,Baldwin Bikes
Verona O'neill,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Baldwin Bikes
Sarai Mckee,Trek Remedy 29 Carbon Frameset - 2016,2,Baldwin Bikes
Sarai Mckee,Surly Straggler - 2016,2,Baldwin Bikes
Sarai Mckee,Pure Cycles Vine 8-Speed - 2016,2,Baldwin Bikes
Neville Mcclain,Heller Shagamaw Frame - 2016,1,Baldwin Bikes
Neville Mcclain,Pure Cycles Western 3-Speed - Women's - 2015/2016,1,Baldwin Bikes
Neville Mcclain,Electra Townie Original 7D EQ - Women's - 2016,2,Baldwin Bikes
Neville Mcclain,Electra Cruiser 1 (24-Inch) - 2016,2,Baldwin Bikes
Neville Mcclain,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Baldwin Bikes
Shantel Gregory,Surly Wednesday Frameset - 2016,2,Baldwin Bikes
Shantel Gregory,Heller Shagamaw Frame - 2016,1,Baldwin Bikes
Shantel Gregory,Trek Conduit+ - 2016,1,Baldwin Bikes
Tomika Larson,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
Lashandra Turner,Trek Slash 8 27.5 - 2016,2,Baldwin Bikes
Lashandra Turner,Surly Straggler - 2016,2,Baldwin Bikes
Lashandra Turner,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,Baldwin Bikes
Lashandra Turner,Electra Townie Original 21D - 2016,1,Baldwin Bikes
Lashandra Turner,Electra Townie Original 7D - 2015/2016,1,Baldwin Bikes
Travis Whitley,Surly Wednesday Frameset - 2016,2,Baldwin Bikes
Travis Whitley,Electra Moto 1 - 2016,1,Baldwin Bikes
Travis Whitley,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
Travis Whitley,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Baldwin Bikes
Darren Witt,Trek Remedy 29 Carbon Frameset - 2016,2,Santa Cruz Bikes
Darren Witt,Pure Cycles Vine 8-Speed - 2016,1,Santa Cruz Bikes
Ingeborg Ellison,Heller Shagamaw Frame - 2016,1,Baldwin Bikes
Ingeborg Ellison,Pure Cycles William 3-Speed - 2016,2,Baldwin Bikes
Ingeborg Ellison,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
Corene Swanson,Pure Cycles William 3-Speed - 2016,1,Baldwin Bikes
Elana Miles,Electra Townie Original 21D - 2016,2,Baldwin Bikes
Elana Miles,Electra Cruiser 1 (24-Inch) - 2016,2,Baldwin Bikes
Olympia Figueroa,Trek Slash 8 27.5 - 2016,1,Baldwin Bikes
Olympia Figueroa,Electra Townie Original 7D EQ - 2016,1,Baldwin Bikes
Carissa Cross,Trek Fuel EX 8 29 - 2016,2,Baldwin Bikes
Carissa Cross,Electra Cruiser 1 (24-Inch) - 2016,2,Baldwin Bikes
Carissa Cross,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Baldwin Bikes
Eldridge Greer,Pure Cycles Vine 8-Speed - 2016,1,Baldwin Bikes
Joshua Berg,Surly Ice Cream Truck Frameset - 2016,1,Baldwin Bikes
Joshua Berg,Electra Cruiser 1 (24-Inch) - 2016,1,Baldwin Bikes
Joshua Berg,Electra Moto 1 - 2016,1,Baldwin Bikes
Joshua Berg,Electra Townie Original 7D - 2015/2016,2,Baldwin Bikes
Josephine Dale,Trek Fuel EX 8 29 - 2016,1,Baldwin Bikes
Josephine Dale,Heller Shagamaw Frame - 2016,2,Baldwin Bikes
Josephine Dale,Surly Straggler 650b - 2016,1,Baldwin Bikes
Josephine Dale,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Baldwin Bikes
Taisha Vang,Electra Cruiser 1 (24-Inch) - 2016,2,Baldwin Bikes
Silas Tate,Surly Wednesday Frameset - 2016,1,Rowlett Bikes
Silas Tate,Electra Cruiser 1 (24-Inch) - 2016,2,Rowlett Bikes
Silas Tate,Electra Townie Original 7D EQ - 2016,2,Rowlett Bikes
Jamaal Baker,Electra Cruiser 1 (24-Inch) - 2016,1,Baldwin Bikes
Jamaal Baker,Electra Townie Original 7D EQ - Women's - 2016,1,Baldwin Bikes
Jamaal Baker,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
Twana Arnold,Electra Townie Original 7D - 2015/2016,1,Santa Cruz Bikes
Margit Osborn,Trek Remedy 29 Carbon Frameset - 2016,2,Baldwin Bikes
Margit Osborn,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Baldwin Bikes
Margit Osborn,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Baldwin Bikes
Margit Osborn,Electra Townie Original 7D - 2015/2016,2,Baldwin Bikes
Inge Olsen,Surly Wednesday Frameset - 2016,1,Baldwin Bikes
Inge Olsen,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
Chanel May,Electra Moto 1 - 2016,2,Baldwin Bikes
Chanel May,Electra Cruiser 1 (24-Inch) - 2016,1,Baldwin Bikes
Chanel May,Electra Townie Original 7D - 2015/2016,2,Baldwin Bikes
Nathaniel Davidson,Electra Townie Original 7D EQ - Women's - 2016,2,Baldwin Bikes
Dalia Carson,Electra Cruiser 1 (24-Inch) - 2016,1,Baldwin Bikes
Dalia Carson,Pure Cycles William 3-Speed - 2016,2,Baldwin Bikes
Dalia Carson,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Baldwin Bikes
Tiana Henderson,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Baldwin Bikes
Tiana Henderson,Pure Cycles Western 3-Speed - Women's - 2015/2016,1,Baldwin Bikes
Tiana Henderson,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,Baldwin Bikes
Rodney Odom,Ritchey Timberwolf Frameset - 2016,1,Baldwin Bikes
Rodney Odom,Pure Cycles Vine 8-Speed - 2016,2,Baldwin Bikes
Rodney Odom,Electra Cruiser 1 (24-Inch) - 2016,1,Baldwin Bikes
Joesph Delacruz,Trek Fuel EX 8 29 - 2016,1,Santa Cruz Bikes
Joesph Delacruz,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Santa Cruz Bikes
Joesph Delacruz,Electra Moto 1 - 2016,1,Santa Cruz Bikes
Joesph Delacruz,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Santa Cruz Bikes
Mark Garrett,Heller Shagamaw Frame - 2016,2,Baldwin Bikes
Mark Garrett,Electra Moto 1 - 2016,2,Baldwin Bikes
Mark Garrett,Electra Townie Original 7D - 2015/2016,1,Baldwin Bikes
Denis Logan,Trek Remedy 29 Carbon Frameset - 2016,2,Santa Cruz Bikes
Denis Logan,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Santa Cruz Bikes
Denis Logan,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Santa Cruz Bikes
Dann Huff,Surly Wednesday Frameset - 2016,1,Baldwin Bikes
Dann Huff,Pure Cycles William 3-Speed - 2016,2,Baldwin Bikes
Dann Huff,Electra Townie Original 7D - 2015/2016,2,Baldwin Bikes
Corine Stuart,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Baldwin Bikes
Corine Stuart,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Baldwin Bikes
Corine Stuart,Electra Townie Original 21D - 2016,2,Baldwin Bikes
Corine Stuart,Electra Townie Original 7D - 2015/2016,2,Baldwin Bikes
Serafina Clemons,Electra Townie Original 21D - 2016,1,Baldwin Bikes
Susannah Fields,Ritchey Timberwolf Frameset - 2016,1,Baldwin Bikes
Susannah Fields,Electra Townie Original 21D - 2016,1,Baldwin Bikes
Susannah Fields,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,Baldwin Bikes
Lazaro Moran,Heller Shagamaw Frame - 2016,2,Rowlett Bikes
Lazaro Moran,Electra Townie Original 21D - 2016,2,Rowlett Bikes
Lazaro Moran,Pure Cycles William 3-Speed - 2016,1,Rowlett Bikes
Lazaro Moran,Electra Cruiser 1 (24-Inch) - 2016,1,Rowlett Bikes
Lazaro Moran,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Rowlett Bikes
Kristen Alvarez,Electra Cruiser 1 (24-Inch) - 2016,2,Baldwin Bikes
Kristen Alvarez,Pure Cycles Vine 8-Speed - 2016,1,Baldwin Bikes
Ophelia Decker,Heller Shagamaw Frame - 2016,1,Baldwin Bikes
Ophelia Decker,Surly Straggler - 2016,1,Baldwin Bikes
Ophelia Decker,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Baldwin Bikes
Cleotilde Booth,Surly Wednesday Frameset - 2016,2,Rowlett Bikes
Cleotilde Booth,Pure Cycles Western 3-Speed - Women's - 2015/2016,1,Rowlett Bikes
Cleotilde Booth,Electra Townie Original 7D EQ - Women's - 2016,1,Rowlett Bikes
Cathey Lamb,Pure Cycles Western 3-Speed - Women's - 2015/2016,1,Baldwin Bikes
Cathey Lamb,Electra Townie Original 21D - 2016,1,Baldwin Bikes
Cathey Lamb,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
Cesar Wilkins,Electra Townie Original 21D - 2016,1,Santa Cruz Bikes
Cesar Wilkins,Electra Cruiser 1 (24-Inch) - 2016,2,Santa Cruz Bikes
Cesar Wilkins,Pure Cycles Vine 8-Speed - 2016,2,Santa Cruz Bikes
Gabriel Wagner,Surly Wednesday Frameset - 2016,2,Baldwin Bikes
Gabriel Wagner,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Baldwin Bikes
Gabriel Wagner,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Baldwin Bikes
Gabriel Wagner,Electra Townie Original 7D - 2015/2016,1,Baldwin Bikes
Gabriel Wagner,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
Mariela Huffman,Surly Ice Cream Truck Frameset - 2016,1,Baldwin Bikes
Mariela Huffman,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
Euna Lopez,Surly Wednesday Frameset - 2016,1,Baldwin Bikes
Euna Lopez,Trek Slash 8 27.5 - 2016,2,Baldwin Bikes
Euna Lopez,Electra Moto 1 - 2016,1,Baldwin Bikes
Genoveva Baldwin,Heller Shagamaw Frame - 2016,1,Baldwin Bikes
Genoveva Baldwin,Surly Straggler 650b - 2016,2,Baldwin Bikes
Genoveva Baldwin,Electra Townie Original 21D - 2016,1,Baldwin Bikes
Rochelle Ward,Electra Townie Original 7D EQ - Women's - 2016,1,Santa Cruz Bikes
Rochelle Ward,Electra Townie Original 21D - 2016,2,Santa Cruz Bikes
Rochelle Ward,Electra Townie Original 7D - 2015/2016,1,Santa Cruz Bikes
Rochelle Ward,Electra Townie Original 7D EQ - 2016,1,Santa Cruz Bikes
Trinidad Chapman,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Baldwin Bikes
Trinidad Chapman,Pure Cycles Vine 8-Speed - 2016,1,Baldwin Bikes
Trinidad Chapman,Pure Cycles Western 3-Speed - Women's - 2015/2016,2,Baldwin Bikes
Trinidad Chapman,Pure Cycles William 3-Speed - 2016,1,Baldwin Bikes
Ellena Clements,Surly Ice Cream Truck Frameset - 2016,1,Santa Cruz Bikes
Ellena Clements,Trek Conduit+ - 2016,2,Santa Cruz Bikes
Ellena Clements,Pure Cycles Vine 8-Speed - 2016,2,Santa Cruz Bikes
Ellena Clements,Electra Townie Original 7D - 2015/2016,2,Santa Cruz Bikes
Jeannie Wilcox,Pure Cycles Vine 8-Speed - 2016,1,Baldwin Bikes
Jeannie Wilcox,Electra Townie Original 21D - 2016,1,Baldwin Bikes
Jeannie Wilcox,Electra Townie Original 7D EQ - 2016,1,Baldwin Bikes
Max Charles,Surly Straggler - 2016,2,Baldwin Bikes
Max Charles,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Baldwin Bikes
Max Charles,Electra Townie Original 7D - 2015/2016,2,Baldwin Bikes
Bronwyn Vargas,Surly Straggler 650b - 2016,2,Baldwin Bikes
Bronwyn Vargas,Electra Townie Original 7D - 2015/2016,2,Baldwin Bikes
Gertrude Terry,Surly Wednesday Frameset - 2016,2,Santa Cruz Bikes
Gertrude Terry,Electra Townie Original 7D EQ - Women's - 2016,1,Santa Cruz Bikes
Christia Wilkins,Electra Moto 1 - 2016,2,Baldwin Bikes
Christia Wilkins,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Baldwin Bikes
Aaron Knapp,Trek Fuel EX 8 29 - 2016,2,Baldwin Bikes
Aaron Knapp,Pure Cycles Western 3-Speed - Women's - 2015/2016,1,Baldwin Bikes
Lavette Wright,Trek Conduit+ - 2016,2,Baldwin Bikes
Lavette Wright,Electra Moto 1 - 2016,1,Baldwin Bikes
Lavette Wright,Electra Cruiser 1 (24-Inch) - 2016,2,Baldwin Bikes
Lavette Wright,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Baldwin Bikes
Rosa Kinney,Electra Townie Original 7D EQ - Women's - 2016,2,Baldwin Bikes
Rosa Kinney,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Baldwin Bikes
Rodolfo Buck,Trek Slash 8 27.5 - 2016,1,Baldwin Bikes
Rodolfo Buck,Trek Remedy 29 Carbon Frameset - 2016,2,Baldwin Bikes
Rodolfo Buck,Surly Straggler - 2016,1,Baldwin Bikes
Calandra Stanton,Heller Shagamaw Frame - 2016,1,Rowlett Bikes
Calandra Stanton,Surly Ice Cream Truck Frameset - 2016,2,Rowlett Bikes
Romaine Haley,Surly Wednesday Frameset - 2016,1,Baldwin Bikes
Romaine Haley,Surly Ice Cream Truck Frameset - 2016,1,Baldwin Bikes
Catrice Hicks,Surly Straggler 650b - 2016,1,Santa Cruz Bikes
Catrice Hicks,Electra Cruiser 1 (24-Inch) - 2016,2,Santa Cruz Bikes
Catrice Hicks,Electra Moto 1 - 2016,2,Santa Cruz Bikes
Catrice Hicks,Electra Townie Original 7D - 2015/2016,1,Santa Cruz Bikes
Kimberli Cline,Trek Remedy 29 Carbon Frameset - 2016,1,Baldwin Bikes
Cindie Franklin,Ritchey Timberwolf Frameset - 2016,1,Santa Cruz Bikes
Cindie Franklin,Surly Straggler - 2016,2,Santa Cruz Bikes
Cindie Franklin,Pure Cycles Vine 8-Speed - 2016,1,Santa Cruz Bikes
Cindie Franklin,Electra Cruiser 1 (24-Inch) - 2016,1,Santa Cruz Bikes
Cindie Franklin,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Santa Cruz Bikes
Thurman Ellis,Trek Fuel EX 8 29 - 2016,1,Santa Cruz Bikes
Thurman Ellis,Surly Straggler 650b - 2016,1,Santa Cruz Bikes
Thurman Ellis,Electra Townie Original 21D - 2016,1,Santa Cruz Bikes
Thurman Ellis,Electra Cruiser 1 (24-Inch) - 2016,2,Santa Cruz Bikes
Casey Gill,Trek Remedy 29 Carbon Frameset - 2016,2,Baldwin Bikes
Casey Gill,Surly Straggler - 2016,2,Baldwin Bikes
Casey Gill,Pure Cycles William 3-Speed - 2016,1,Baldwin Bikes
Casey Gill,Electra Townie Original 7D EQ - Women's - 2016,2,Baldwin Bikes
Keitha Black,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,Baldwin Bikes
Keitha Black,Electra Townie Original 7D EQ - 2016,1,Baldwin Bikes
Alpha King,Ritchey Timberwolf Frameset - 2016,1,Baldwin Bikes
Alpha King,Surly Ice Cream Truck Frameset - 2016,2,Baldwin Bikes
Alpha King,Pure Cycles William 3-Speed - 2016,1,Baldwin Bikes
Alpha King,Electra Townie Original 7D EQ - Women's - 2016,2,Baldwin Bikes
Leticia Snyder,Ritchey Timberwolf Frameset - 2016,1,Baldwin Bikes
Leticia Snyder,Pure Cycles William 3-Speed - 2016,1,Baldwin Bikes
Leticia Snyder,Electra Cruiser 1 (24-Inch) - 2016,1,Baldwin Bikes
Leticia Snyder,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Baldwin Bikes
Rikki Morrow,Trek Slash 8 27.5 - 2016,2,Rowlett Bikes
Rikki Morrow,Electra Cruiser 1 (24-Inch) - 2016,1,Rowlett Bikes
Rikki Morrow,Electra Cruiser 1 (24-Inch) - 2016,1,Rowlett Bikes
Rikki Morrow,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Rowlett Bikes
Rikki Morrow,Electra Townie Original 7D - 2015/2016,2,Rowlett Bikes
Luke Kramer,Trek Slash 8 27.5 - 2016,2,Baldwin Bikes
Luke Kramer,Surly Straggler 650b - 2016,2,Baldwin Bikes
Luke Kramer,Electra Townie Original 21D - 2016,2,Baldwin Bikes
Luke Kramer,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
Luke Kramer,Electra Townie Original 21D - 2016,2,Baldwin Bikes
Katheleen Marks,Electra Townie Original 21D - 2016,2,Rowlett Bikes
Trisha Johnson,Electra Moto 1 - 2016,1,Baldwin Bikes
Trisha Johnson,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Baldwin Bikes
Brigida Larson,Surly Wednesday Frameset - 2016,1,Santa Cruz Bikes
Brigida Larson,Trek Conduit+ - 2016,2,Santa Cruz Bikes
Brigida Larson,Electra Moto 1 - 2016,2,Santa Cruz Bikes
Brigida Larson,Pure Cycles Vine 8-Speed - 2016,1,Santa Cruz Bikes
Brigida Larson,Pure Cycles Western 3-Speed - Women's - 2015/2016,1,Santa Cruz Bikes
Latasha Hays,Pure Cycles William 3-Speed - 2016,2,Baldwin Bikes
Latasha Hays,Electra Townie Original 7D EQ - 2016,1,Baldwin Bikes
Vikki Erickson,Surly Wednesday Frameset - 2016,1,Baldwin Bikes
Vikki Erickson,Trek Conduit+ - 2016,1,Baldwin Bikes
Vikki Erickson,Surly Straggler 650b - 2016,2,Baldwin Bikes
Valery Saunders,Electra Cruiser 1 (24-Inch) - 2016,2,Rowlett Bikes
Valery Saunders,Pure Cycles Vine 8-Speed - 2016,1,Rowlett Bikes
Kiara Deleon,Electra Cruiser 1 (24-Inch) - 2016,2,Santa Cruz Bikes
Kiara Deleon,Pure Cycles William 3-Speed - 2016,1,Santa Cruz Bikes
Robby Sykes,Surly Straggler 650b - 2016,1,Baldwin Bikes
Robby Sykes,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
Robby Sykes,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Baldwin Bikes
Ben Stone,Surly Ice Cream Truck Frameset - 2016,1,Baldwin Bikes
Ben Stone,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Baldwin Bikes
Launa Hull,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Rowlett Bikes
Zulema Browning,Electra Townie Original 21D - 2016,2,Baldwin Bikes
Zulema Browning,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Baldwin Bikes
Micki Rutledge,Heller Shagamaw Frame - 2016,1,Baldwin Bikes
Micki Rutledge,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Baldwin Bikes
Micki Rutledge,Electra Townie Original 21D - 2016,2,Baldwin Bikes
Micki Rutledge,Electra Townie Original 7D - 2015/2016,2,Baldwin Bikes
Theresia Barron,Heller Shagamaw Frame - 2016,2,Baldwin Bikes
Theresia Barron,Surly Ice Cream Truck Frameset - 2016,1,Baldwin Bikes
Theresia Barron,Electra Townie Original 21D - 2016,2,Baldwin Bikes
Theresia Barron,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,Baldwin Bikes
Theresia Barron,Electra Townie Original 21D - 2016,2,Baldwin Bikes
Mark Benton,Ritchey Timberwolf Frameset - 2016,1,Baldwin Bikes
